month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,3.7932238742226945,4.111126546243523,3.7840808143649407,3.6783460456502697,4.023817179725271,4.2199054798522875,4.535613632015024,4.952849976173074,5.075298651104809,3.9508937559708364,4.51723195015871,3.7383822513126965,3.8571859630661285,3.9499937469229107,3.9418969467452687,4.014089091202657,3.8782770457965188,3.7206323231397422,3.615724777342104,4.952609335749556,3.647674343989486,3.832014526614875,3.885495417043052,3.655492454448174,3.5578023256117204,3.7864308262362942,4.027234726419294,3.9842631736022986,3.7122143243294237,3.690194069600572,3.798916451820797,3.8835248743426987,4.195538070110847,3.7800733779672235,4.188652433516219,3.969795057965581,4.2307098429518915,3.9038234511767365,3.9360215693353293,3.9126869535622792,3.8968687445805834,3.8420823079024338,4.2241606547984905,3.9366845861366513,4.09148719118917,3.8002648590694226,4.0270358896853535,3.8185661776716557,3.9681703379278264,3.9708129753538914,3.8519342592627064,4.040627413412406
2,3.120084246585806,3.342599389907728,3.2319697048573763,2.878674007630934,2.9535225878056193,3.069862304061332,3.164547215101118,3.415583040177973,3.3260806283526825,2.903179851147747,3.244217575460562,2.814517210314584,2.8394879453028206,2.8989325185413697,2.88988877346836,3.0153181143326755,3.0245217552127444,2.9544875443986727,2.8138881359364594,3.332831461933855,2.8539666881013073,3.041002415018893,2.9305332344244333,2.865739239724711,2.8210883798658037,2.9508060817667876,3.073454188754825,2.996204285979945,2.8720893912392023,2.855871889515422,2.887283408848823,2.931390519651936,3.2550027327527857,2.885872830642254,3.1397925274121943,2.987927031895518,3.2272861647162303,3.0204184456846903,2.9782198459172116,2.964095933376107,2.9403366603832444,2.8977048795400218,3.192879513355777,3.0537445320357937,3.0485119726046603,3.02059814296853,3.180977711619658,3.007338273526095,3.179234822500592,3.0177426031937427,3.1693752474074413,3.257713813905857
3,5.1312746289256035,5.328767567447738,5.298469605920692,4.696832400382214,4.526475490811057,4.651929337389475,4.652227511514068,4.850627864584216,4.553810514195527,4.606710295673202,4.732009867281431,4.5625793768946545,4.556371710099545,4.485408463531282,4.44038828587457,4.678730399797688,4.8635653536940575,4.781694442949093,4.60793733639199,4.733891889576394,4.740922699417043,4.800472119595616,4.447158838360689,4.859715286239455,4.840570873538051,4.878741638823009,5.069353803185932,4.423346852960979,4.606634719154626,4.638486150894631,4.736952507197805,4.556650669403889,5.263240048870695,4.570068291305216,5.182519659993677,4.491531163496815,5.327424146210345,5.0691470716165385,4.8108617230255355,5.027718471667821,4.609683532355946,4.931441618220036,5.237715846602629,5.166630843002992,4.4264031480116195,5.032777854782205,5.262827890680206,4.783237253806527,5.223576470540517,4.487728063176194,5.251399650366746,5.248568543973642
4,4.942905831772767,5.173339536380973,5.113246220086338,4.6653597348431015,4.795846576528833,4.9421389263900535,5.069789223111425,5.129447235140873,5.024811769132685,4.863591445129729,5.052487111630717,4.746609975159074,4.8542063722040085,4.601113925764909,4.410187295583436,4.954128500467794,5.062951164801882,4.939850639899429,4.638300188493785,5.001691608205972,4.796576619112583,5.021900531208553,4.347491268426742,4.954546455801148,4.948899689339473,5.065317930586867,5.247829011385231,4.357919985113869,4.629009442047077,4.591155026685484,4.627969596583663,4.4878027054656515,5.365075497910236,4.325108034346408,5.19899250791326,4.267989413951688,5.3705992478568145,5.054534177412118,4.708425809365083,5.053045697213759,4.360965303854476,4.9083163230632705,5.268686128501886,5.178577591171572,4.208584647192238,4.930424670797473,5.185991376481424,4.517055166168739,5.081126997956137,4.20623077252441,5.084644152153386,5.089280590194438
5,4.305680481808198,4.450299192417738,4.357679680476669,4.2240669510187665,4.820472870084172,4.9202752943438055,5.175039646855354,5.145479006769045,5.288034920688705,4.788098773234989,5.061783939690843,4.55795131491418,4.8575610583220925,4.554474605433409,4.296389245428699,4.785856907336674,4.799531169050302,4.607885093824572,4.339583079922911,4.9257315796031484,4.4510866704348855,4.759416747055717,4.203570234500342,4.532472875466973,4.498824450507329,4.7660468883819815,4.9562667295293075,4.130558659032818,4.3364102950923415,4.196550795313502,4.256788689648257,4.169852631412142,5.131708079239976,3.954636259142253,4.789827081785421,3.945343201101557,5.025920208356571,4.513357272848479,4.274842062140694,4.472756911338925,4.114899944030479,4.357930698231972,4.928523693001338,4.683961521770398,3.8241941598516918,4.36716828433017,4.625671101747158,4.00114679578876,4.464379276710111,3.762774039721571,4.443079446662864,4.407733334375004
6,5.198226635483918,5.2394404899036875,5.177989737110081,5.238087755144717,5.384835466923014,5.413737650244503,5.545033996216023,5.719634469418479,5.734823825907201,5.3733715370420745,5.536670653749611,5.267302774396453,5.365837356459097,5.270323651623421,5.233126976939357,5.3083887641226495,5.447276177712476,5.271293882316183,5.251089089483901,5.655322842816051,5.31394300824124,5.352257684443426,5.244785143792842,5.384715771435213,5.336321725934017,5.486068955250508,5.557101738762993,5.198657585595728,5.281220840149706,5.254789021786822,5.343157843839256,5.203206275074413,5.635601626958966,5.2762277091069745,5.477668436427652,5.124019543847579,5.6241941312010715,5.2858978380561235,5.260937431106753,5.3011836917320965,5.277589098666137,5.244296162487227,5.590828911464969,5.33490948043888,4.925191052505141,5.2158706904807675,5.369845994043783,5.187314147664713,5.258668883560439,4.980641453343228,5.217492042071971,5.261303125299044
7,4.8615742061924605,4.8622937800072465,4.823208510899614,5.23695466993522,5.7864905485266975,5.663353679199711,5.654512697580536,5.438641364728756,5.740827577042766,5.724593083397289,5.513742620725743,5.577511128327884,5.5669353552087255,5.609788905795698,5.747707076882373,5.509261849504842,5.310302485833675,5.420834799499651,5.538030932067998,5.308933590512224,5.3666229560875145,5.28067279883463,5.666109364708246,5.209881730252001,5.20762166806154,5.149813658346572,5.063777934709108,5.625551923707824,5.359147698968553,5.371796125515448,5.164225587743118,5.437665575394857,4.995566119494316,5.421281559730234,4.858616578499494,5.338685106910277,4.8751696568926075,4.840046326602381,4.933076332615254,4.860311867438561,5.170590209059093,4.907448476790997,4.839835044896534,4.854701150055926,5.3706258521240535,4.832235978193281,4.816887660620139,4.99584572815175,4.80046683584395,5.212731096730408,4.8285856800385885,4.793106624564746
8,4.008989898048782,3.9460871654272616,4.02166153273435,4.67775245278382,5.629277826629896,5.411812945889464,5.554546223658157,5.210199810055787,5.821116839718443,5.493502941756719,5.187988020727159,5.262311440103085,5.246907495003039,5.353986094201794,5.521754169047091,5.12213637697551,4.765986702024144,4.918977940676868,5.12097383215082,4.930454944917754,4.82358816039972,4.6842511222307515,5.288765993594584,4.66765864539416,4.6079623495263355,4.533599756186552,4.4695877228551035,5.147257552833116,4.795863813791209,4.807945089587443,4.530854818933836,4.8621597905173815,4.513978034465983,4.836563495962157,4.180731431604125,4.709000174010897,4.28259482665773,4.040889238333056,4.086363156341885,4.09668569334567,4.4615725989031665,4.135689912384801,4.233125268174706,4.107739655927452,4.916774031220554,3.989891454809892,4.038073527611818,4.145040011815766,3.9708615760575454,4.570710207660008,4.010828329115807,3.914212424765942
9,4.4872099623638,4.470062713269126,4.399338091758746,5.040644712916446,5.524425126913209,5.373405641151882,5.474624451918519,5.447740023514626,5.705301680593925,5.42616950957656,5.280797635305226,5.302923374679736,5.346112811441212,5.465679278849967,5.575294298842624,5.196940797887967,4.985786220142766,5.056290865282815,5.19787010878912,5.360689905965949,5.047071572038322,4.941406050494455,5.4674487066787165,4.837129432265194,4.8181324439675315,4.8773666510872395,4.86859599496562,5.5081112287482075,5.125990263742247,5.140450875173948,5.047902184519637,5.246025767306622,4.942158820850533,5.269620293073441,4.7477418160397145,5.294505010686569,4.842816391359804,4.603563701253513,4.82415131015418,4.678051580085973,5.10725418793391,4.680944191303851,4.89373525390962,4.602967398247538,5.31791897330119,4.555587653554332,4.5586282174993835,4.857570066057189,4.486681252190284,5.156090921980058,4.461085752598516,4.477019837941572
10,7.344298360754746,7.15426298017843,7.12977435212736,7.705716709062345,7.70746227515507,7.7795825441375674,7.799634846779547,7.832949571255392,7.825603356654101,7.720036494028873,7.78695765534645,7.755280840803207,7.793785273064111,7.732669204545982,7.7289471116221025,7.741368629843303,7.608523247975877,7.7421874498175445,7.7221659103380995,7.831435818905824,7.685089680340848,7.631716682067429,7.799077932007995,7.610559325130156,7.595421499595419,7.498400810683854,7.529869058344104,7.90507624817619,7.815712774702009,7.728249973800739,7.737940766701339,7.867458119275265,7.517013814033525,7.734956049245173,7.468964703879647,7.785268495887007,7.585478713313339,7.457526958472692,7.743398234481426,7.509729928347445,7.779821540335806,7.536491888457002,7.517006546377567,7.4296233430506025,7.689942233219512,7.496013600645618,7.292785797505052,7.604575873282405,7.250772065623471,7.509943084511145,7.289826136070886,7.167688535657233
