month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,5.448921229591595,5.512890612174611,5.565120668245148,5.2188481006033065,5.462597761543309,5.625306477790439,5.825099964552565,6.0640289984150675,6.164820119372069,5.442809705936577,5.8372988907607875,5.237290871689827,5.331479134257224,5.166597673713734,5.070338372754494,5.535069343724808,5.4857381995102585,5.468627945644984,5.20125033266745,5.931442715498757,5.3317382320588065,5.484132451655029,5.05924269272597,5.398218771209187,5.380979740784216,5.326703221273108,5.48900997757819,4.947901916696496,5.200907472421884,5.187286097763343,5.238827916140147,5.062518899188222,5.5322329888213915,5.122677868101054,5.441300403876838,4.98821439202609,5.705929151084321,5.406954896188979,5.244558137187308,5.416584525405762,5.037975949231207,5.348562996942877,5.5008878974375035,5.504164695938086,4.854194248258897,5.4227307445088035,5.457823807983171,5.184249890838136,5.438683016132733,4.98535508902383,5.531207638707708,5.39545007359917
2,6.087870951728804,6.168216772573466,6.215539725929536,5.93699195889945,6.078568034858114,6.209873779865102,6.340274040826946,6.333889971985096,6.3908740774678545,6.0865484647308845,6.3167161768755395,5.8728182012064885,5.977840391576258,5.783677954118247,5.654349801869248,6.116550700474273,6.144418353384178,6.120882687094102,5.839288787043021,6.028222872500611,6.003973534112654,6.107733081381911,5.602675412297066,6.104975232719477,6.0898843251631485,6.013164936337074,6.147139131949303,5.551466887101897,5.870621858770684,5.857777001858382,5.857700533079329,5.728145997679358,6.334809998618111,5.750416722728655,6.186904250211923,5.610450831050334,6.492401647248001,6.127053409750289,5.90757017861412,6.149195341118039,5.665589066400856,6.023079966929557,6.19086457611172,6.264768100715092,5.45769362912384,6.103186329459507,6.1920785574094825,5.833166653985876,6.108283129534081,5.5812020794895965,6.230876920767319,6.049369146464208
3,4.986600200175035,5.162664424772434,5.115580885272617,4.890887451240761,4.959914767383049,5.112299360466157,5.15996658768394,5.1659608323442905,5.137938070271654,5.010331196436184,5.249845312188845,4.883104910688174,4.936777420469797,4.852579228303437,4.739249684709678,5.082289738554037,5.191226055754962,5.085720688546733,4.820353855054133,5.032986430954368,4.964701439993283,5.119502890205822,4.616650803862341,5.086035390439925,5.087598130247666,5.082668126817454,5.197292879563435,4.552040757806198,4.7591712580317616,4.792210770364275,4.750360945612356,4.681486604297915,5.3071182127783185,4.615057906607268,5.100836576508096,4.504003345771843,5.288790531720997,5.009995827516213,4.752991366728873,4.988755288477678,4.527019398484334,4.8855214747823625,5.115964295426467,5.103649379913797,4.441081252941684,4.936356852678414,5.128269692056048,4.6126122644366845,5.050068276749664,4.42838472783369,5.094494664967824,5.034183278376146
4,5.1684755786408525,5.24756950014467,5.1978497032100766,5.1262992839103525,5.507039895652679,5.573109260202832,5.62900907524609,5.586593709949388,5.5406873768500535,5.555373162654887,5.58874851393468,5.396748607009194,5.555873506387702,5.37250755274646,5.1833836772684245,5.494053019436458,5.5085293642550575,5.401603499950746,5.241669053128261,5.452856874596972,5.256061353913014,5.464646288217841,5.021527573546938,5.318320779398278,5.328143667051409,5.46286701615608,5.58954877864685,4.947479041254863,5.167515803588382,5.073244888323601,5.014487981141859,5.0503512859535755,5.626492288047837,4.846697662094491,5.4055118607664525,4.781930890618606,5.583393672017742,5.274851466248401,5.090600947881602,5.233779588418841,4.83371785525506,5.142364808602584,5.458019462196481,5.3533494588373625,4.692127881989541,5.189026301967684,5.3189938688676905,4.819897835923296,5.2468130345319635,4.592101893961953,5.280803166407202,5.172997908427435
5,5.027030599215266,5.258174194756531,5.006333518735317,5.064453043763424,5.846953737177987,5.907924729141924,6.147316744941694,6.032772136521032,6.302457715116983,5.807546650378383,5.997474647676035,5.522500313970544,5.90264740327894,5.576720682060374,5.280875175084452,5.686189219294693,5.61616407184526,5.48950644128409,5.2992083460781245,5.80069947700342,5.343131397497953,5.535648273830771,5.171113553730736,5.27833971211496,5.292354798766573,5.52220762548649,5.755634892180119,5.047255146879968,5.2810890714873295,5.056238572509372,5.121128992325836,5.021116205442494,5.8929959714366005,4.848515617624723,5.589196504855711,4.749017566033175,5.8276538297083,5.322621349204094,5.1111200134932195,5.264638807072584,5.061412352564198,5.197788946641428,5.726042835716524,5.424542419893058,4.69472076481206,5.18022416774922,5.390322211998177,4.7671051276148875,5.239724646891919,4.484411967133556,5.192074323919245,5.203049739973063
6,5.715429302319774,5.653203734312628,5.531831570677594,5.747976656480322,5.9051823299207555,5.928913117828622,5.990825111067427,5.97263500773867,6.249967408337179,5.882171762506379,5.986144250930774,5.74989161063767,5.8803265765329105,5.774525403217746,5.71551712619527,5.770317968665764,5.797141373789836,5.705233441140078,5.657798448545114,5.951754599214086,5.7380533599862,5.742449722281418,5.678878795017046,5.7435816870176994,5.752085013778847,5.6869402346630515,5.803367834782159,5.672068908579652,5.6783515855599385,5.7254126779907555,5.774421906032666,5.678619869790963,5.871765888048681,5.752511553855241,5.760611258290967,5.770821556999893,5.844372629196227,5.70613556541675,5.799293656134138,5.658046592092318,5.771300924618215,5.724705352164027,5.811763056326276,5.652019035006799,5.742666205054617,5.705896512809239,5.6861940423262665,5.76523002638443,5.679374201076696,5.786576689565029,5.645035285769833,5.708136724773075
7,4.741980642658741,4.555009638784835,4.66475782403296,5.257866045081768,5.994624633470574,5.9197005468830675,5.908503118379268,5.69166457900144,6.1326371525578045,5.92463381753688,5.814763343225143,5.793232294982186,5.78999791915451,5.825895859038685,5.822683159410229,5.784046674256529,5.487203672698534,5.585227830663399,5.555505307574315,5.547675230731054,5.404746416551416,5.5052145877737235,5.657495117222236,5.282024843133949,5.233872807358616,5.106555628861436,5.050175243014993,5.615000660002476,5.329104673092879,5.385683900440484,5.152551910427458,5.453087309344271,5.075729793467863,5.408713397740034,4.800593906974835,5.273196074804566,4.819736182121805,4.7953570132351215,4.957171690373142,4.790017696888913,5.19071439744562,4.847828065996623,4.740399836271246,4.7610401737848544,5.265539004675352,4.7573131214604025,4.731018732416073,4.947450688080328,4.727495860678587,5.062253267420007,4.728708149892529,4.682010463731639
8,5.644865420457112,5.526213646787838,5.592235813435104,6.079035641778152,6.575667042231033,6.568168328636998,6.518691406917356,6.234441646592477,6.533200817428762,6.538782895121506,6.434606366984049,6.398242431607272,6.418885787714215,6.367001173606308,6.442110158677972,6.460502574990278,6.302559851255631,6.35861482062705,6.234603312578463,6.164707744419616,6.248783052876901,6.304287988845738,6.264312783762989,6.267731282963265,6.210362873736813,6.090366268004846,5.887819259268147,6.103920140515087,6.056883277682574,6.135423728286269,5.947173490251584,6.045848603765651,5.898542089990847,5.988027406812005,5.8081288994283415,5.7947344112651855,5.871485538517046,5.795800397414939,5.775461136508159,5.789060769600008,5.761564775091033,5.766034710139188,5.824284320141075,5.767904440769612,5.814192748472278,5.684275739017109,5.673470390234112,5.667870531358173,5.6010528966942585,5.635120869788099,5.637594339243027,5.564507320383684
9,6.585668163090459,6.682450724430406,6.525892701984602,6.812360996453601,6.977353173389252,6.994371343846121,7.051186052924074,6.961052524993007,7.200914306644889,6.931231364946865,7.0033304508035705,6.875755570981817,6.97073943277831,6.92633483737395,6.9678347117230715,6.914598121329334,6.834603729117215,6.835502537012305,6.766413490903494,6.9294255969890415,6.812740885239615,6.797456687446886,6.834768003338581,6.825723618976394,6.768715873743456,6.811987031537985,6.768446618830927,6.812438736364301,6.754584763310367,6.820450019842439,6.76031733680468,6.806137417274621,6.838208253819372,6.769587434504273,6.888460351293824,6.630630080268189,6.919006448139619,6.669164475981508,6.688933810612117,6.6600264390952795,6.6299432023374685,6.599402077531283,6.983876943205625,6.681873983261542,6.651171348772077,6.561510513776391,6.72166699946415,6.5162350367855035,6.636478042353575,6.455845101012411,6.604085358953326,6.671244777276334
10,7.601484606356481,7.682732908594863,7.522665638598675,7.982852190424038,8.466120979298207,8.447589092031755,8.492580484062533,8.367338213557897,8.604325926575692,8.391376279336441,8.410706953306805,8.292997133688822,8.466329842650858,8.401238143883313,8.306082545456167,8.271305098141582,8.103128028412367,8.126296684975552,8.11035100293012,8.283600428815134,8.01950164160769,8.125648344216732,8.187304789687538,7.99701005852337,7.94542099833987,7.976143966064766,7.994062121020014,8.170229642389723,8.112469702889491,7.994441815325409,7.881492992177091,8.136669082457823,8.007322296906297,7.891855169133439,8.00584315354741,7.787739268859965,8.074099819855615,7.872051318389604,7.872655932809156,7.919979909311642,7.837250993860791,7.8173471535677574,8.037949011335979,7.910423656868111,7.742273108942903,7.733144683528956,7.805915351107779,7.539704503574462,7.689925832356791,7.388884453289578,7.662857218428487,7.636349767433682
