month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,2.91557414243925,2.6974471284406056,2.707389505142862,3.084452829564183,3.835641824601637,3.741571751349091,3.9365589786609756,4.135088052526904,4.386975580344765,3.6810047496072182,3.8238226591355464,3.5672452709550457,3.738503852607219,3.720213697018568,3.608015000744672,3.6068850445899545,3.3211522597521275,3.373232060775773,3.3149427553420368,4.031157060882991,3.2239489874626353,3.4053269469461176,3.586936187400952,3.0139570481027924,2.93713163571877,3.0053824477370736,3.088906433596937,3.6411407069273998,3.3570048957636986,3.187898558190449,3.144974635509034,3.505628442557457,2.9792622154748196,3.3092765558726773,2.840230410100772,3.4167626752362446,2.9584811962024165,2.827636215833056,3.1926006797160618,2.8640888849512187,3.3588976819078242,2.916998067405982,2.9260552020089974,2.8291437421405896,3.5510342909826993,2.945482334462989,2.7581148526346566,3.145812143915875,2.7843064144676717,3.3235120152272914,2.8334367129615425,2.7710254991952468
2,2.898981287789386,2.7354506021041027,2.8146560320648493,2.9841939045697563,3.376066842780763,3.3895756426813537,3.470262767499841,3.47202232851123,3.587436925148976,3.3162477882268986,3.408247621753473,3.19413501891728,3.2724235000191166,3.26396510192743,3.226866057908267,3.270762062736162,3.107886591853703,3.157491306782874,3.0837465828035033,3.347003891831876,3.045672776206389,3.1112855102204873,3.2230879300603097,2.982358074098966,2.939266632021695,2.9479595471200857,2.959654388274249,3.248521805959469,3.074777114355677,3.004760064125761,3.0063678397989486,3.1592150791137286,2.90553262972675,3.0607253293938337,2.783832705207337,3.15314699659925,2.910526090104772,2.8103555571438767,3.0128046719517885,2.832912129219925,3.0991666817089376,2.8587496187796146,2.7746988685001197,2.7593553154749193,3.2784143366615184,2.9031825370416837,2.7487144467859523,3.0262124384308855,2.795209409914076,3.115773400831532,2.8514164834661337,2.7600304614993014
3,2.432998315772877,2.4323622352788905,2.371592144153872,2.5820806143701693,2.782861746297025,2.839461747780334,2.888614163342238,2.81548744234964,2.9832699200785777,2.7510230562604425,2.866185461395306,2.7275962136981136,2.739391161007776,2.784669351744096,2.755294381095129,2.7797334458292897,2.695979506740279,2.6967167244371777,2.5945157089352224,2.7094698512946267,2.589774008932827,2.672432375907033,2.6633339305466768,2.5816784737520657,2.5504970872694983,2.502050327537929,2.5083258320274293,2.651138359263678,2.5534774238820024,2.5605919962044017,2.5250772036241287,2.6385875556083165,2.528717185620346,2.5853309994803046,2.422914243766161,2.5732542414024557,2.486191107900571,2.4088857925731224,2.5115951865577584,2.3929095883753977,2.518229001590505,2.4123894352869164,2.421691372872097,2.394008582163051,2.623399107009034,2.455788487780164,2.3807609232878835,2.4913742189475445,2.379092747630864,2.557139298117111,2.3951062468152786,2.3786027646625807
4,2.8423126548252147,2.8398127234370873,2.8106664369529017,3.161765531102975,3.5183109970987907,3.5377117140499026,3.5495344145333454,3.3786970077844645,3.5345209610931034,3.535976222687579,3.481980471186464,3.46990576355441,3.546813431099268,3.4768958867288045,3.360708766976125,3.496840820887113,3.3627620917204344,3.4232539815013294,3.36563168363442,3.3730470678689,3.301883046803192,3.3703073592057655,3.256106200262182,3.214659566286679,3.2169777741282433,3.2224107924735894,3.2428630283519584,3.213287226930264,3.2560618491958015,3.163442224803493,3.0334100699375233,3.1772525085880763,3.258794478928954,2.967109665480622,3.084070505825616,2.8887946256709562,3.193242498450903,3.0247901676528244,2.997524894070171,3.0185503033543966,2.973547691990803,3.0026189159409222,3.1000537862647475,3.0270261582319695,2.880396970752979,2.942603868973595,2.971758625868772,2.7167253669493383,2.9123668417965662,2.610158591477186,2.898867810749643,2.8927208364637798
5,3.312691230140813,3.2795527314012363,3.2224069164812006,3.479133505665725,4.064206160344671,4.104482440548977,4.241648738839834,4.16688687000259,4.395932038445447,4.026100791138195,4.135825436310653,3.853570670521733,4.063647381936515,3.9051491819103448,3.7238784195678876,3.9546056497383746,3.7988871623476443,3.7588107649234157,3.6463904144363055,4.06027918860658,3.6313816283711042,3.7610529989859747,3.6099591386718926,3.614996398537732,3.578195096889732,3.639324028473782,3.746479921365268,3.490017028149497,3.615302368164015,3.5035320733611623,3.5348729846186884,3.50509672978906,3.8280200383917395,3.4349633174412646,3.6135268958867943,3.284045453031774,3.742808291689453,3.505908268928214,3.4781425676572937,3.4739500284688662,3.4731786938047344,3.456969653298838,3.6815032992106738,3.5275687471522983,3.0359024687790304,3.41184297247714,3.4936833480334113,3.197417407175748,3.404822354607925,3.039981757090887,3.3755355855204905,3.3557200254824386
6,3.261505714112636,3.383991287779262,3.255741965163747,3.3542529351216412,3.949906639583717,3.9373591392303084,4.015541630425478,4.0778256724421995,4.0961749689517,3.9195890562715094,3.997815536944692,3.764275624779207,3.8439943553984373,3.737625825676625,3.629895727098816,3.816487060445634,3.747083956296234,3.6660759192207615,3.591071938755737,3.9972591717595582,3.543151253875935,3.69470083458615,3.5769784524073627,3.5422647055263377,3.4684111070701023,3.5598668553157418,3.6619567223615905,3.4171713232368632,3.4490920738541146,3.4203277323008128,3.437276958258508,3.330108203707275,3.7824779158708313,3.392527961629729,3.568895338334118,3.0775138126734305,3.6588326586130226,3.4342130716327364,3.322852830654279,3.426159463534496,3.323264532172845,3.342986776993247,3.618584274206141,3.4292510226083794,2.7960091158913283,3.300454502301368,3.5155101048728334,3.0670068271991786,3.40657677199179,2.7855964999294915,3.353735533297412,3.438698415995139
7,4.447883698609068,4.621349542711945,4.431203762717702,3.9263230664500712,3.7998794062156103,3.7928743089623813,3.8168007532089483,4.033472674043603,3.854797741997358,3.790005909152138,3.8859779396851777,3.777266530332822,3.709099226751289,3.715790330034716,3.837619907503427,3.8044531238004597,4.09886556690562,3.889396665924256,3.8586072807161047,4.021247589868836,3.92852229604584,4.03588470611365,3.866830423181594,4.1413122733692065,4.046248780181468,4.222991151780164,4.267217708898828,3.79165803894169,3.8068995080728736,3.871729332037051,4.009390775758745,3.787156082617374,4.368377343167347,3.8819396880388424,4.537796210557806,3.782909207095096,4.57896416001555,4.391292133860301,4.113354549007746,4.335706191831097,3.8629025679564313,4.173099367328444,4.576196579101687,4.400578105082124,3.8029801905327956,4.326198981844544,4.544212741551509,3.9892239958909546,4.4865873710214785,3.7827797453510765,4.434697948317992,4.539501200607512
8,4.333918342893317,4.488741805532055,4.303248332701199,4.318815619920776,4.485202097016383,4.465288942624328,4.425394602838838,4.365626660197845,4.380464944221066,4.460370295931495,4.433571273171636,4.404678841321617,4.366658249962004,4.307551443871648,4.3903943799309415,4.4364609974964075,4.485645181539754,4.425310200306365,4.356399340525149,4.332447396404013,4.408129876684311,4.470324571217013,4.354267628288113,4.522315077651889,4.3954193718368595,4.457791822795766,4.369009261983066,4.233857275522204,4.273554906123696,4.31930427998936,4.392240373613756,4.225627501964156,4.4242688699164745,4.271753921035686,4.579026318596089,4.0430851085983655,4.573866791557105,4.4580352826176375,4.300593867319008,4.508603602397956,4.111258579831413,4.405096036969103,4.623711786387856,4.440530498170399,4.118549351614481,4.316687437700242,4.4868377059517,4.122716285608705,4.417522536593667,3.9164508085309744,4.331371809138451,4.48794263801999
9,3.498440177392311,3.7356977318226523,3.533142906719137,3.7363302368809537,4.339763607542726,4.258353952212508,4.276748171288138,4.086896483466809,4.435628961864549,4.262124195387859,4.117408389032287,4.151132793391023,4.2365852257466425,4.19991045263717,4.138721550779052,4.095981694382835,3.886482660983646,3.943636644817162,3.9204013997647555,4.019733060406348,3.8280409427565383,3.862221409901987,3.9309956614913495,3.837902357584827,3.7173648064972373,3.786934226989773,3.7937659419695695,3.8146560629459336,3.7619979974319477,3.7708849960503548,3.737417608732407,3.755509044819814,3.961788256689247,3.6746067290432225,3.959071401547371,3.4983354381053546,3.975902888424744,3.7337297611112032,3.6226480200341857,3.768353329824395,3.5604576948089792,3.6919920615314474,4.052895253321964,3.7663969336613987,3.438675235134685,3.568564406079381,3.8091657586780885,3.413612511931272,3.6855247331272136,3.2884644987900185,3.5690510275393468,3.769930737064976
10,4.232613269335171,4.196680808912889,4.114874780784011,4.4121979503648365,4.642710877030351,4.671640826329666,4.7578824563269055,4.794434037795503,4.842717441818633,4.5850675584192215,4.718028189346767,4.565031408502451,4.618994962204771,4.559879948935447,4.539836641279052,4.617938624478205,4.502203783566935,4.501997883664747,4.424728683479647,4.823151001866358,4.430686989056846,4.520392369963458,4.525631100307735,4.386408848167733,4.32763785192577,4.4022773050449855,4.4610188801343895,4.561117495704479,4.4589485324413385,4.447894344186827,4.458416859102371,4.489633330714773,4.468488311163882,4.4523030281767255,4.403848516577968,4.420551730032158,4.450126231937588,4.368706284664588,4.427743228879891,4.382671816213765,4.446033256198117,4.382875748617395,4.449371291582283,4.3723559450586205,4.291314177199199,4.286512852786504,4.306184419624869,4.2564412985828675,4.240901282519662,4.203103977329818,4.220646704518321,4.21531021354698
