month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,-0.30496357933702284,-0.5406607358364862,-0.49645370570076863,-0.05818277823979579,0.03464875402001831,0.19119052877975043,0.24025202142990118,0.05268335725524822,0.06919557136599981,0.3131901204814326,0.10221193815306269,0.024422656505514454,0.10648078041739743,0.018425388709540396,-0.0022550655583545793,0.01932740930444424,-0.04297329902046987,-0.09263457191630987,-0.008126232509873797,-0.05788305248313085,0.032247015915358855,-0.04150700466201165,-0.03212349097072459,-0.22666497555109516,-0.036716579753086044,-0.1788675402790511,-0.43868223163707015,-0.028744898321909993,-0.021021548454243914,-0.0846512497581933,-0.08286663028521263,-0.09311770604056477,-0.5972886805334653,-0.07944454552062012,-0.3721563125115392,-0.07347134042444348,-0.39897798521370537,-0.3028194805365025,-0.07426503492136378,-0.22609946754608948,-0.02155212112434704,-0.2745761178173622,-0.3483771426931825,-0.21870963734287097,-0.058310505852322586,-0.25005592668861304,-0.3878478949748876,-0.09509069084694151,-0.38158442625438943,-0.08791262387298465,-0.3813705366102758,-0.2857677019964284
2,0.22516346053987915,-0.34019202100621254,-0.04534299652385413,0.05613835473540766,-0.09979840583144009,0.0960618182189964,0.04546122673760871,0.11452370317587075,-0.04056975326085639,0.0532465026944398,0.019701785382312882,-0.16670159230173445,-0.02489511945425863,-0.12848984193109586,-0.22486213327480337,-0.09431560659885327,0.02236962154953726,-0.07527345264782641,-0.21373549416569082,0.050142606667708256,-0.01879187660919428,0.08131240399371144,-0.16879335571014212,0.059776325676816656,0.11003199176080146,0.1645022984940859,0.15943100110465536,0.02108407752750874,0.06280658790034271,0.06714275375956864,0.05762879144324306,0.054144731296435954,-0.22124043518189634,0.0003934357921430192,-0.030602839339939746,0.030867650703226723,-0.06369903528382621,0.1515694090015607,0.05659647329571964,0.14099804004691688,0.1183764595818923,0.09869446844655412,-0.10784189532143358,0.18412288236494323,0.01063296510945464,0.21951177354233714,-0.06476992232173542,0.10496035571686119,-0.0037934374177908325,0.038914038651480715,0.10153543935658918,-0.09306012575892966
3,-0.16063553654643725,-0.23606980824204193,-0.24383540167603154,-0.2302521257499864,-0.3373665357706081,-0.36967295315833293,-0.3280804206157179,-0.18536459937282654,-0.040725418308283995,-0.5588564016887364,-0.2765336785943118,-0.24268120347433714,-0.16321264907784774,-0.19869848426665082,-0.278761824158637,-0.3636592246193959,-0.6028231364798762,-0.5390297610277993,-0.4913759066351425,-0.09625712863505917,-0.46415978816553605,-0.3192784369045497,-0.2720262810858827,-0.631239181836996,-0.6002301891118226,-0.7423117051195549,-0.7350709875879068,-0.07158755163622384,-0.12588148750560835,-0.165846985657972,-0.3336240402932079,-0.06445856998717021,-0.5856436911516489,-0.17039716470168184,-0.33665744715289425,-0.12864612042626986,-0.6242510358669496,-0.38636020291599066,-0.2313277745913661,-0.4938644414512459,-0.14641157304012126,-0.43019664092898396,-0.28458340481173744,-0.4837592933162689,-0.07785862431212655,-0.300305848653868,-0.24157367554523249,-0.26817324053214187,-0.1256691478677203,-0.14907972737473177,-0.1281680211344937,-0.09663423669672493
4,-0.08104943733418142,-0.0752827447758144,-0.08279431601267799,-0.16308570607504125,-0.3201903748728662,-0.39495418741223726,-0.46495698767987076,-0.2459523902109319,-0.2653980881025822,-0.4552330663615374,-0.35908135882929554,-0.27822429363748874,-0.25359297869312764,-0.1821904642797784,-0.17472744999559212,-0.3338568806418987,-0.45669417627231457,-0.34419320715787666,-0.266787265210114,-0.1871920346486983,-0.34657882929384987,-0.36001313662530754,-0.15207343784769345,-0.3689091854804478,-0.3872794854821816,-0.3661140003655918,-0.33042563699303074,-0.11089521831606172,-0.17679966220521504,-0.17815770700176764,-0.16508393957934112,-0.1299161296547167,-0.19454786159185153,-0.1263537353907668,-0.11780676560732366,-0.08035407427859745,-0.19768883708352628,-0.18560425284075618,-0.11354859417362224,-0.2113252959933701,-0.10274201303351947,-0.19843737463581873,-0.10183082249571541,-0.19732401918134712,-0.06980435539249301,-0.1379840874634743,-0.10515531215649991,-0.08747009723368865,-0.0805712816025862,-0.06143708535355022,-0.09862158658477607,-0.04861240425438311
5,-0.014096719078412869,-0.03429184521217384,-0.04843211509187274,-0.04975296272980878,-0.13456041334517924,-0.14000589986302533,-0.19019582355197395,-0.03129177670957079,-0.10951099055778664,-0.14964029493579267,-0.09555068298703807,-0.07607091918398637,-0.06703721288152609,-0.030389647777003207,-0.011215032999118048,-0.10437038877319556,-0.07432779642343633,-0.10156362563521039,-0.05464813269812117,0.01655349063388657,-0.09984154135438622,-0.05666408807506898,-0.008207402873018497,-0.07971765191997644,-0.09844514293177871,-0.004996228248648901,-0.027375052121546655,-0.02955160831291571,-0.027621724166705913,-0.04848431274398527,-0.004334735467936027,-0.04128301870029767,0.008669061560248268,-0.03988976141153308,-0.049066457724905234,-0.027156011018703182,-0.02561683181175628,-0.011211220345083369,0.007525194272223595,-0.021430220181696397,-0.008976780451541681,-0.009588108782384221,-0.014374977540368126,-0.009936609904571875,-0.037692574334124394,-0.002589675951156609,-0.03338468074590894,-0.01878677605351528,-0.024466415869655277,-0.027659280555539702,-0.00416437051569148,-0.02323825888021505
6,-0.052720457252722897,-0.5247915270664659,-0.19951931664532824,-0.08585287501357435,-0.08651570608470126,-0.11424622689210476,-0.10165358421286717,-0.21708294475243842,-0.129603745027726,-0.08404213518429614,-0.0775333086553353,-0.1207887352306877,-0.09977392232704653,-0.05940288324554621,-0.07184625172945802,-0.11201454381816218,-0.2854962305764517,-0.12157088483295493,-0.09483950957762913,-0.29010742286322233,-0.11803794113556682,-0.1655404322678104,-0.08142926829639653,-0.20773743014288024,-0.16753154587962305,-0.3883084089864403,-0.5331287883236566,-0.03904321537818199,-0.04519845521533376,-0.07882971002228972,-0.08586445514134108,-0.046201693107107304,-0.5189101968960986,-0.03435577951997769,-0.4471619000532731,-0.0025614466297862533,-0.4619859793434478,-0.25302933677017364,-0.06892914553995624,-0.3540008293723341,-0.040532627263371576,-0.2620137665000324,-0.35504574526572097,-0.38785633733636365,0.009581763802371456,-0.07005694817563682,-0.42170263432779054,-0.01986626272776134,-0.22735343450385076,0.009205002990925287,-0.1965596764083452,-0.3849414990426113
7,-0.46592000903667113,-0.21882690183196993,-0.6971082190479214,-0.14644640053363436,-0.04081736382033251,-0.11559477498006997,-0.2695777889742333,-0.17451201812896128,-0.2279320762300567,-0.0360672842863043,-0.2538296089423529,-0.13192983032286568,-0.002634868399708968,-0.04520154952724781,-0.021211970422345457,-0.16737755189963846,-0.3573261385687136,-0.11315345161076454,-0.07605153202708219,-0.1777039454376288,-0.17835956646795773,-0.2926601934737227,0.0009999222502432255,-0.29635640851618317,-0.26654333818682313,-0.624603148408642,-0.44046459170324265,0.03244673777469944,-0.02793753542655334,-0.04242959295157666,-0.17168023036700525,-0.017050414085936712,-0.4308707866473618,0.029226156098441466,-0.2173368608540629,-0.07375178369174748,-0.40421813539674334,-0.15064320150579263,-0.14202554687732855,-0.0907347445645191,-0.1585366447935262,-0.05248812781590925,-0.2254054439577833,-0.11106240923686984,-0.10619699306638641,-0.12801193541010178,-0.49167955892919357,-0.21457142270461177,-0.3461614525398459,0.016532473478710327,-0.4708530538600417,-0.39579044673711444
8,-0.40162929787169876,-0.5662527968971233,-0.8416188286557642,0.03705754828151387,0.010672816167335447,-0.2237527055476707,-0.3082760642870123,-0.5828444932908485,-0.25402025236754094,-0.04158381492339875,-0.5084060800988183,-0.2124876083453022,-0.01243579490485069,-0.0823906714707426,-0.03172731851075217,-0.4244904503856961,-0.842973707480914,-0.43584343600593844,-0.12471457916467073,-0.22073198742088865,-0.40797770992288274,-0.8437053501290928,-0.02556133329446224,-0.6742600495692479,-0.4740774630271835,-0.8276605403195331,-0.48464980615755515,0.0273358124793784,-0.01927842047092021,-0.0021303879948988357,-0.21074873857295162,0.12056009245603057,-0.3516157629165885,0.1917480443600799,-0.36586323571417584,0.12650756492316004,-0.3424722377373476,-0.4321902881413385,-0.3106604227012142,-0.4893234757581073,0.0018128595886735225,-0.3584646392130484,-0.1808598033282702,-0.45734848793577915,0.12871406392798335,-0.536500583581042,-0.4305084730649812,-0.3097542418751827,-0.4255003642534473,0.04296910300244098,-0.4380050399195587,-0.5726455906588024
9,0.16903075963976033,-0.9989193557113674,-0.010273097839677194,0.40181573783761,0.14702105851203823,0.1429377268208271,0.2782163502954223,-0.009076964417781237,0.1394212269212571,0.26996209974022395,0.19811660815534696,0.27085759694829403,0.15362680196105855,0.14768779482062566,0.13602596237870934,0.2592617110350469,0.2801508257654011,0.3635420028804428,0.2848711882627139,-0.0428339542275009,0.359583783882164,0.38299137549907586,0.30402934919459174,0.5189044226565318,0.6760795297586264,0.06992541014637156,-0.1404940173458614,0.17260949133698317,0.1366233182096733,0.3112703840883964,0.3202018371979659,0.273621729315613,-0.6870067066704155,0.4165687336629872,-0.44282466878321985,0.5040999605262559,-0.47440325786798093,-0.28074047090873905,0.30681860884404005,-0.2016007388417869,0.6125849321874994,0.0013054481662089048,-0.40404246646626135,-0.3114135075517233,0.5304968393330383,0.06660847004207585,-0.35807580547257367,0.3886836506149756,-0.20078356067808562,0.46256023116400447,0.11147797477201916,-0.451292230464318
10,-0.165867698313864,-0.5084311757913056,-0.1872339994185454,0.04120891091495376,-0.41418539136806637,-0.18991388747655863,-0.1254143426111652,-0.10709633049606194,-0.018680165928400844,-0.30818991869647494,-0.04456843935031585,-0.22660557084277516,-0.18348112953259466,-0.28820401547818914,-0.3045099000046079,-0.08857065567014578,-0.1590132655511387,-0.09967202342987606,-0.16494931096912518,-0.08453257970759318,-0.1079115422618854,-0.054577253408272575,-0.0728857398197445,0.009586844599269754,0.09940960096154249,-0.2635063226225979,-0.2946634598150787,-0.08667836312663083,-0.10279624915499318,-0.007441353667249956,-0.05262788975450749,-0.06363596991819667,-0.5785581274314406,-0.010985842937622642,-0.31987822815188227,-0.04874864806385336,-0.4307981071715671,-0.16864029054878601,-0.06883313395157513,-0.26841158117571146,-0.06632316068829269,-0.03417450600226671,-0.38708377477716227,-0.27271323405956915,-0.04935971694716416,-0.1361722098376821,-0.2951158128436148,-0.004740889096251126,-0.24957386958508215,-0.008269259156394058,-0.1972469127560528,-0.33668266398917235
