month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,3.3025277627364016,3.5598061848604847,3.408718335518557,3.2551164255483207,3.5870096243207685,3.6898922348787004,3.7236541170151103,3.851727482370409,3.927547000677224,3.5129936272143003,3.7445164599118277,3.365864006499448,3.462936312378753,3.432355108732698,3.3559921557761836,3.5390043977641907,3.4827834527832393,3.4392735367420824,3.2567431229496577,3.8567875997161387,3.334601257742664,3.457885645513501,3.312707621540328,3.3870232880901314,3.2991835990303806,3.320560810585957,3.4218614318445626,3.287885487150299,3.2962945889488835,3.2427545972078557,3.2304099131010515,3.282191621847115,3.478872007561831,3.1928324827951764,3.489894954831276,3.155559391515533,3.5707631269923286,3.3780542437947774,3.214464008258609,3.4231254745652784,3.151778701891709,3.3245680652304306,3.4418159268894835,3.4311384049144613,3.1557176558590116,3.29383779926931,3.4255754972126904,3.1418759389859034,3.352953063363987,3.1018736565724927,3.3604354191177297,3.3407130253521204
2,3.7965918393779337,3.8410326838882205,3.839848878196363,3.6121707077093475,3.8589391929364973,4.02180394209631,4.080080504744972,4.077459795607524,4.048684654822997,3.865349266840489,4.071875413333222,3.8383361757068255,3.8718606648065594,3.7911291834103955,3.6746836200470163,4.011616949426465,3.9174479305517313,3.946705286194349,3.678362391521617,3.989442794133966,3.725612745349192,3.960037692294073,3.6033719978939156,3.8190893692399595,3.707391852304755,3.7234588695988684,3.8080091972496652,3.560973782710107,3.611617622406713,3.5637244197673494,3.5690588286746356,3.6082670494473663,3.937337633687176,3.515633229773731,3.815558959483328,3.4902366591857428,3.9656125693906366,3.711582478193952,3.6418296351732242,3.7493733080572387,3.4940402674009694,3.667915844657481,3.838082296205278,3.7762743068738405,3.4586527910001834,3.724648500809267,3.794782762421453,3.640836341958646,3.746177181469281,3.503643447942995,3.800965466946369,3.752591505436616
3,3.447975887109455,3.7058764429608018,3.5840497203179313,3.245126398669953,3.5230834183692727,3.569849571622431,3.6098533175396934,3.8046348391932883,3.6868506675569828,3.467785110143149,3.644786850100912,3.3667264706845503,3.442844909605088,3.4078531528336655,3.298050258010386,3.498422615343984,3.5211637321818463,3.4049391591024483,3.2215217124816937,3.707670598201946,3.291175294309607,3.5175938495720187,3.1814776809720064,3.4108303547518077,3.3338338766818425,3.4516363260045866,3.6148694161972905,3.067740966970957,3.1861030584884897,3.19724543007916,3.225414939543158,3.15951983660012,3.7746167419753713,3.100566485886854,3.6682264080735334,2.989077411130242,3.7729963482273257,3.5179951312641244,3.2967047743653284,3.4970857363472754,3.0598934474305817,3.4165467549183797,3.7218928771917144,3.611184336384754,2.9054965717465198,3.423305857093258,3.6665296786769184,3.1623760370147935,3.5643818361188186,2.944674383445978,3.5489605453233812,3.5880287757007174
4,3.79617534423061,3.9965377234830064,3.86634754108599,3.572358728313564,3.530362382865599,3.6676732164180543,3.736879295300528,3.7977266788384476,3.593154159071253,3.590369136914314,3.8213817261121066,3.536565291352198,3.5337967169199778,3.3972631594733036,3.316955590419742,3.7026136644165266,3.916123092721928,3.7637249285895344,3.5245320491882373,3.7204786773104184,3.6644827677394383,3.8762215643442435,3.269805935553745,3.8213130338541097,3.8021257840882283,3.853991251729218,3.999053378777576,3.300674525145875,3.494952143267659,3.4752980243907063,3.4216682349258387,3.390859603232917,4.13052830067097,3.283385297068567,3.8909176225612123,3.296340971057445,4.052515923077724,3.744672039345131,3.5064881145636697,3.680358654583533,3.2336746165899273,3.5848017986181238,3.943808548654737,3.858553097366968,3.1815433037990566,3.7080753443577525,3.910939887800551,3.397289872701379,3.838952073513391,3.287264724870055,3.856039000540376,3.835645133254076
5,4.09939338728612,4.246839025520439,4.1250714420743115,3.685750905475092,3.618419118370041,3.764534898396058,3.9814738566357866,4.048442015490773,3.92011764319463,3.6580569832010768,3.96584569927957,3.5607484026281147,3.744655183935951,3.5182299760743874,3.4387593556941156,3.747041846630017,3.964546190368042,3.7478736613365053,3.5607123633554645,3.9258224532806687,3.729674557478053,3.9343956582329684,3.481085070593051,3.835780356112159,3.8708954754777913,4.009437404166738,4.237204695128673,3.4308510750781402,3.6728814062665833,3.5827268319911387,3.7119215873611724,3.574835485203882,4.381518377094685,3.4797199773392706,4.199241422702365,3.5686094977080307,4.331013891756122,3.9954464009371824,3.900531257618112,3.848230262130311,3.721538089841889,3.8349322760709432,4.277109059342686,4.076113151741866,3.3825279479076866,4.065030707806741,4.175228568454705,3.799553667969958,4.165524720202488,3.5976720865935654,4.1898839543807345,4.156084258946675
6,4.8195100940600355,5.020732891965129,4.8220483429862995,4.828410868189366,5.033856171580609,5.053208001973445,5.095223388004268,5.090115242742862,5.216709413439288,5.01244749136596,5.109346460865385,4.8801674470999155,5.1145553497962615,4.951916209901137,4.836600322132501,4.961941703404595,5.0421448098985255,4.886366471555614,4.807375103589848,5.048125699525111,4.883097808518845,4.975823782853734,4.803811221709031,4.938804434828222,4.9197461134878475,4.9832269018341675,5.1551186829787135,4.739106072109718,4.850477728229375,4.777915674673473,4.80976942807401,4.75491322304299,5.3480303751466085,4.6901164977670735,5.139375732162456,4.574489198047275,5.335906465320437,4.903594003827938,4.8234609500638195,4.8321647835881585,4.728343795606314,4.7985800720952225,5.203788005743563,4.931477214553781,4.460870121403508,4.848225337820803,5.018305301605563,4.625757999449247,4.944641433021567,4.448810581628072,4.91391535409888,4.980075943508227
7,3.88852387526186,4.01320880963699,3.916660346468435,3.815960952588432,4.223667923970667,4.272908038888473,4.368402652844613,4.385775706712666,4.5000514080848335,4.202325558032933,4.370408627336895,4.074095080770573,4.152905227068205,4.077514498748398,4.053998908692734,4.182060912742688,4.224248203768908,4.065287938125402,3.980454266137923,4.346194934172901,3.970568669258355,4.204589045210525,3.96844376389097,4.076592935675398,3.9805635002965247,4.104738104945303,4.170853111634727,3.8452307619877364,3.8342963291102596,3.8325368529254416,3.836014099617276,3.80272506353799,4.311378396044372,3.7463083625181612,4.096473435522111,3.645815522427389,4.21195304337599,3.924400965423178,3.765854646817673,3.8218839134393097,3.6518859268825015,3.7905789404038708,4.1667920551507995,3.9369189011297467,3.662211833709524,3.825112591382619,4.044303512126705,3.6044606674587913,3.9767166463495074,3.5099890387177255,3.945269630158168,4.017014606672327
8,4.518008421484726,4.6892062198118225,4.514254104469802,4.4513687420318675,4.572782110332442,4.7300981080704085,4.76921411386976,4.826782368293528,4.825848812951053,4.567475920796614,4.85832696371102,4.534206854555479,4.549411452392881,4.482974652542865,4.520040387581281,4.726751827095185,4.82009309433094,4.6759291337689985,4.447708822989085,4.801650410227997,4.569746511727099,4.80845578671328,4.390854342323422,4.761343770715237,4.6198137640917905,4.750926562283239,4.68777801665784,4.3225301210052285,4.350659248907072,4.4421925693405475,4.389083660666913,4.313340378900671,4.765153127966474,4.259153546961876,4.708581631621837,4.162065239616004,4.780273944417546,4.519413798940039,4.3954678799263736,4.442314938320477,4.129485185288534,4.375997918028229,4.730716171138727,4.535608999483473,4.193155878148254,4.461101588397369,4.653249776418144,4.265958754253531,4.5909429019984875,4.045492587504222,4.541754989232695,4.68714200264399
9,4.872518354450632,4.982376113419247,4.803213098910778,4.935789146457684,5.153288595961104,5.21608374075826,5.254028737303742,5.343762073977356,5.277203997912223,5.136441355917749,5.2849310129975535,5.08384154327352,5.120051214897088,5.059130959397981,5.074702611026359,5.19218338890301,5.245257320387046,5.122966295556751,4.963850742849671,5.316747117955779,5.063140913616697,5.2368010801799825,4.926320991038869,5.153808275146557,5.050969115558934,5.163051340634194,5.169748852479725,4.921833780166581,4.913893950673651,4.95872082009459,4.899230664670048,4.898234803151913,5.2961678091037685,4.827565254965635,5.1505518745815175,4.664068973599274,5.244247144377823,4.981530061070861,4.843942885938496,4.991376782174352,4.652226695746646,4.903042485365097,5.2116696757662,4.984408448176203,4.612879601173268,4.827354175488124,5.012418956122036,4.658676280791689,4.938699768920942,4.474679101853576,4.869702646114011,4.9964523165601245
10,5.553628711520226,5.5808663202203554,5.467689631368591,5.7130209781801655,5.913767162498959,5.898295182781574,5.804645500137705,5.696416506729972,5.632276296031884,5.936097103610471,5.820478104057211,5.885868158898135,5.957183342944591,5.833804076904731,5.766108421981809,5.8682136937821365,5.802883662117584,5.888272326001419,5.854986563905739,5.61844153888711,5.800315296638169,5.805912644026196,5.726905749162501,5.784055841016415,5.769271222796745,5.678101015389657,5.661539471498758,5.630347775936774,5.8150591586963385,5.711660715596903,5.644601421442146,5.718255388906735,5.680057616636572,5.588408773236319,5.642919431733773,5.549535214386059,5.744483761356836,5.644879963077227,5.644726465406885,5.676185204580457,5.556508292168351,5.6042580487239615,5.7054262224538075,5.663828691020244,5.401040592124995,5.620249188199404,5.57357293382958,5.490249629223161,5.53889070056731,5.373630124478182,5.557564059918233,5.516372284208881
