month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,4.275651951857355,4.3899854188479255,4.364430502268021,4.095412059857563,4.611057260406187,4.708524770456042,4.9368787923135775,5.192870302343227,5.433819748562715,4.494146254158428,4.969440217351669,4.3006566470215315,4.37639805063403,4.310159871237364,4.222138703271177,4.5589223251405295,4.513163743121196,4.466030733826412,4.1653698876644265,5.052461534687555,4.214424976568314,4.513472902595234,4.1012539705970426,4.293111612812418,4.206303179231337,4.2701047739940465,4.413098410550354,4.004453475253413,4.101751836044864,4.043761872868336,4.064860951160673,4.010985106527841,4.4909302488215195,3.9731792558527737,4.436168047375122,3.8924602516596774,4.58583948304393,4.328773328041191,4.085837534909865,4.401646515455201,3.899518630975602,4.268858141222502,4.433832589974464,4.406102644925954,3.897772374096198,4.239477978659754,4.3580148220216826,4.025082504729365,4.312876114999234,3.887760655347996,4.382013417815263,4.274541249064764
2,3.9106546566644504,4.237548974261352,4.044714381621642,3.686930043010833,3.8580133355256896,3.8310680893377445,4.016366319173776,3.9357889635965986,4.375956704799226,3.77541001866652,3.889601830297451,3.6896628304962475,3.768586524706588,3.777132608107929,3.7358887827415574,3.705653789670751,3.7750740026124188,3.7184930540982117,3.6821004061693294,3.6489217669367315,3.706226885112651,3.7421121054362287,3.625811651325113,3.8357134858853836,3.7719688454528892,3.7174621962804,3.8203473338546314,3.500381539742578,3.6229909625458547,3.6242551361979563,3.6285359271307205,3.575391153838431,4.004700279722174,3.557510219912216,4.019324250546868,3.466801011984186,4.057085708887289,3.874121807775462,3.6165708267264107,3.8543929486412667,3.4730113196035415,3.755415834245224,4.010456815048424,3.9264686429815776,3.362723280410887,3.7916920098459967,4.003111978792658,3.654440675837277,3.9415557674933646,3.497539909279071,3.946890706745442,4.001998826185096
3,4.218179935770683,4.576331656138215,4.425738970269504,3.813358667038967,3.782435713355111,3.8517960545308956,3.896089399254623,4.025614857154072,3.8703756707665766,3.8066546922474904,3.966326320890271,3.73269560858229,3.7351556516383497,3.6108322741997494,3.5415358889590234,3.8882235197635793,4.046367675338717,3.9497709632338873,3.7555646436764967,3.8195488457414744,3.889342663092829,3.9971804432804148,3.483371662162347,4.06705976164471,4.027228710281028,4.0219766519159705,4.2301312626048135,3.383670715063709,3.690578021396661,3.7214646983725017,3.72929385393712,3.536803872754491,4.493063098596002,3.536277003332609,4.39422815382352,3.4395505234593693,4.547707057843786,4.231039311853841,3.7785789576492292,4.205613685152122,3.48486677365243,4.068559351443065,4.477928064912192,4.374412517238317,3.263012896279357,4.112213015803849,4.431890739558272,3.7576383925973587,4.28238888736054,3.4891152804473604,4.310711633241404,4.368642271800924
4,4.518340542444871,4.7560905306007255,4.674409752628221,4.313280210042454,4.696083329784832,4.772236671712213,4.874307154038107,4.902309441197558,4.726661761131428,4.716973940472066,4.894660659273343,4.6328822319684635,4.700823826897414,4.442388970003028,4.200931533075966,4.835730831898754,4.8557804900437045,4.792928033497991,4.452376098130193,4.674656005007705,4.522559071167962,4.854447430655371,4.049852498759915,4.663918240430827,4.655844097883986,4.781960134005518,5.025996663278213,3.9122155184114606,4.265532165599243,4.19427559002676,4.115227787828581,4.078482807503725,5.265426840395775,3.826042090595219,4.9301305347954525,3.721923958906717,5.165765584868481,4.701675224018811,4.225299195266496,4.6743698623620125,3.8338159006739936,4.4832226529663295,5.025507407988096,4.905758584427114,3.5686854512883155,4.504707180669999,4.886009013125573,3.9649390422618556,4.651433761565589,3.602390062851319,4.674463697689918,4.6499877566636165
5,4.8951334098033055,4.970013205982751,4.864571386589017,4.862578273350557,5.091946565072374,5.234758345592347,5.438128035353306,5.307990432703392,5.362889909335011,5.149755923510235,5.368308664832907,4.944335538874742,5.240329956376053,4.911841961865107,4.72143432172459,5.201131091294776,5.272499922557272,5.093914473926161,4.862056749213589,5.023258196843879,4.97808484186107,5.197457887786312,4.714260067896916,5.075637717190013,5.100435718207781,5.2320224214220445,5.440149402667456,4.61327956618089,4.901438028081659,4.7479856350550245,4.73571425072063,4.763542238104719,5.618106014066276,4.5421623887704055,5.157582439184916,4.499813327769091,5.4631286891021285,4.925191427466523,4.82635289659026,4.824624257689414,4.649690033452616,4.7561965963874275,5.256887433988549,5.057658490229038,4.293012045859002,4.932699156239571,5.025309218452505,4.578792956644185,4.9166837656362015,4.342546979565299,4.97540509805161,4.844018187036293
6,5.158558257853798,5.121840027486453,5.012612777248031,5.338186568507382,5.506436022310419,5.564976689448128,5.652983937262731,5.614077392126788,5.8505252924479825,5.496449221494882,5.634977450516933,5.357124689268767,5.577605758974224,5.412437143460797,5.312780160307451,5.413367946202144,5.460614696448853,5.364382908038958,5.340916783078381,5.5502597903785125,5.385097331381559,5.403717580506054,5.324382906335966,5.369132539448205,5.378763626627517,5.332192456987165,5.42298231714547,5.219767809975072,5.350900219868738,5.299521958214565,5.2947654452726765,5.2901336406138215,5.467886175734272,5.261507159289053,5.281109804679222,5.072351261494035,5.392145682104607,5.223717580054734,5.267739801994811,5.155976207225121,5.2449875166824995,5.181055130972445,5.325487822630322,5.184267995809324,4.942327411177917,5.2350490964282725,5.180628872048165,5.125921992766857,5.173390406997284,4.904023081987147,5.192269687504924,5.124011388236355
7,4.068103610258981,3.9472942662253985,3.9809090845396966,4.544895440312591,5.134399223229922,5.088907484604686,5.12372337455655,4.944332191402078,5.400759143623464,5.062423280334108,4.990756592147837,4.88960760666058,4.916874020296259,4.930398897089557,4.925099604248632,4.863999493457304,4.717225656249285,4.710093504563283,4.684612557617702,4.899174100627625,4.636799932616969,4.7099763609552605,4.763152734998843,4.650981145068866,4.558933209961067,4.484234921230336,4.393988062714904,4.656297035796324,4.53719972120059,4.625169970438405,4.48608615556243,4.575226600653291,4.39917469359286,4.622881412980228,4.226727946102731,4.421814783908314,4.302788685492659,4.169961082123273,4.271742271091962,4.163428056916278,4.373598239575471,4.192855535071919,4.254372813446064,4.163696238379068,4.451025882394131,4.1322714958217,4.085416627113,4.210976485610748,4.0243046101025195,4.2774995453624465,4.05307580526872,3.9660609875855055
8,4.163934477196917,4.046194788269122,4.074270696190012,4.552098997117568,5.145080086725939,4.997376466591704,5.018598268905212,4.764287708850034,5.163759139472731,5.040990466142629,4.817612918793571,4.820889447297345,4.900068758682965,5.003930256971468,5.088438341796417,4.750371654402798,4.589606124663537,4.633257286306513,4.737624966049953,4.659747506911399,4.642657654543296,4.588677492869512,4.939182454636417,4.521735677709991,4.505149077045593,4.441343585785157,4.389828373691901,4.891557579548131,4.6110213697821925,4.632908500949565,4.415480522827639,4.686735667386454,4.326413891147334,4.62693556869822,4.226210854842729,4.468801131803435,4.309684873019002,4.190944167997361,4.204313230194165,4.169373809635107,4.3330297147928585,4.170639489601358,4.198654661066704,4.184814219371838,4.559464316466671,4.146747338381302,4.0862464941725305,4.15874111599569,4.085851619412171,4.27152262816156,4.156256856000402,4.056437697935601
9,4.225547128820004,4.340622817043839,4.173383547227074,4.630905005555148,5.139636165410501,4.920600683628033,4.903123859195067,4.815006915354264,5.099189913893497,5.033391893799338,4.768330491717102,4.88479228630815,4.990266820194233,5.2039088981841335,5.303470244753126,4.720948386895465,4.5531723371526445,4.616290904494579,4.841842524799401,4.801566786906954,4.648743552991115,4.513428281055043,5.158313815303031,4.489453313067615,4.483944259841678,4.512298039513327,4.524671161633937,5.084059510876689,4.672506679312549,4.704148709872445,4.618512753279271,4.815793717489952,4.583749877022033,4.7336067614506065,4.506864272179515,4.59865055492775,4.51533209811125,4.342142947544336,4.436419358369156,4.375551672361577,4.615418219624458,4.399602131192669,4.575923701372729,4.365810587744676,4.638429299941345,4.268171783812804,4.354970234425399,4.298217269867123,4.280638038805489,4.291491360078603,4.237938828420934,4.321714540435546
10,6.290409121380665,5.7147505474405005,5.9811885948166115,6.849319665293033,7.077763454618314,7.018962948301768,6.90923373459306,6.788180708846806,6.909626365843915,7.034758411379043,6.833633193057684,7.018292972556053,7.140579125334099,7.103941581142774,7.09354621689081,6.845773326116464,6.680682893092047,6.860456328925869,6.987237464796855,6.752778201962627,6.8614433366861585,6.709065999632194,7.169087128981539,6.633524515966325,6.678152119731572,6.548163876443581,6.500213464767681,7.219337971909862,7.024675215654829,6.939331418193984,6.816787641715479,7.11548940257782,6.311944946643641,6.999789955974491,6.087074749723319,6.985926644400447,6.2803693243625816,6.268740614438393,6.730517203248009,6.33769835808882,6.994083370593792,6.418280186247801,6.126503949649323,6.190365353894429,6.949388185972569,6.402946507689543,5.956194047909262,6.660512645306606,6.016406421305915,6.672889382573399,6.155764544427194,5.840035740264195
