subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
SANTA CRUZ AMA,1,0.01595602348418562,0.3074587713297992,-0.3925417927609738,0.3565066022041402,14
SAN BERNARDINO VALLEY,1,-0.04292691919736223,0.4242955733667307,-0.5154633967593745,0.5144473395125898,14
SAN RAFAEL,1,-0.009929164155603918,0.4348518544716627,-0.5241892837613182,0.48671234394762797,14
TIGER WASH,1,0.22170075030568248,0.5126241590957418,-0.3666678315984787,0.5959309597639393,14
VIRGIN RIVER,1,0.1713591514825493,0.6610136540473217,-0.5584185084378828,1.0598550891356584,14
SHIVWITS PLATEAU,1,0.2307520207157587,0.6389793859396778,-0.5466949939798779,1.1616166479460872,14
KANAB PLATEAU,1,0.2534836293547357,0.6453616211923754,-0.46535146477466194,1.1778333983538392,14
LITTLE COLORADO RIVER PLATEAU,1,0.13007051528817154,0.3324652359543709,-0.2152157959957176,0.5183711352993845,14
PARIA,1,0.11953689144160326,0.22458321884713792,-0.12088913956948885,0.41455179331692515,14
GRAND WASH,1,0.2895144841031409,0.9066953104062805,-0.7660647714039683,1.5107713202210844,14
COCONINO PLATEAU,1,0.17708063241070265,0.4118651312114828,-0.31375664076275794,0.7054101479289236,14
HUALAPAI VALLEY INA,1,0.20345060398035947,0.45609409095808784,-0.35157091174876076,0.785235673571259,14
MEADVIEW,1,0.2094263304405813,0.4452621673054298,-0.34886910989369824,0.8567915182676866,14
DETRITAL VALLEY,1,0.16750947845695902,0.3814287314044515,-0.2810151716308756,0.6618259343349158,14
LAKE MOHAVE,1,0.1979237835109969,0.4286384409336626,-0.29082677918919536,0.6344735353083589,14
PEACH SPRINGS,1,0.18483493590201713,0.5262433045451426,-0.3959517231435181,0.891712127278407,14
VERDE RIVER,1,0.2052247237489125,0.8304846649676083,-0.6421823550696923,0.9370234878944694,14
BIG SANDY,1,0.1657309732378991,0.6998302249930661,-0.6528530774487179,0.8062143205671319,14
SACRAMENTO VALLEY,1,0.21581373970517,0.6077611713481232,-0.4586309204660173,0.7486744200213916,14
JOSEPH CITY INA,1,0.11842317112559506,0.23494749006212273,-0.1076504037488841,0.4097785471825796,14
BILL WILLIAMS,1,0.29846071475853103,0.7770788154294023,-0.486054619145634,0.9160507281434989,14
