subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
SANTA CRUZ AMA,1,3.2936271423376313,0.8979871129218459,2.386047851421113,4.224896748780887,14
SAN BERNARDINO VALLEY,1,3.494356760776952,0.9119069446667024,2.536142330541055,4.386182285142604,14
SAN RAFAEL,1,3.3637732303151657,0.9163001612687763,2.492807074081598,4.32272021701305,14
TIGER WASH,1,3.2247193651485064,0.7980416360244161,2.2707351153334874,4.035007672890704,14
VIRGIN RIVER,1,3.5891934959593965,0.7880332320231175,2.718435660206381,4.434885236201913,14
SHIVWITS PLATEAU,1,3.6639540897654252,0.8229835885558199,2.770713067021114,4.561938983274916,14
KANAB PLATEAU,1,3.8517724708058556,0.8684051443767975,2.8315621131724042,4.816499244224012,14
LITTLE COLORADO RIVER PLATEAU,1,4.057123998761664,0.9676639225962868,2.8365701016687237,5.1208642044921815,14
PARIA,1,4.222520377793777,0.9572978428819993,3.070236253435188,5.3404319897010835,14
GRAND WASH,1,3.498444299493425,0.7938472848843223,2.596940639883164,4.331170504702151,14
COCONINO PLATEAU,1,3.8626857651738207,0.8802595979351984,2.8518927095353406,4.837354455442021,14
HUALAPAI VALLEY INA,1,3.3620974798887064,0.7638946579769104,2.4895895864655304,4.139551426429993,14
MEADVIEW,1,3.4447663007834057,0.7866798492417677,2.52010957412689,4.22063442436366,14
DETRITAL VALLEY,1,3.4391172445139753,0.7529361237855308,2.5486330688111405,4.202110033943028,14
LAKE MOHAVE,1,3.382573295242796,0.7326199104428792,2.502241389614142,4.138066176313404,14
PEACH SPRINGS,1,3.547505410838552,0.803980552080969,2.7270023887891854,4.3954723549591685,14
VERDE RIVER,1,3.4477777160364016,0.8336821687096182,2.514832472781043,4.395509779882408,14
BIG SANDY,1,3.409765856566257,0.8081900923165547,2.5622565848540657,4.329098289203218,14
SACRAMENTO VALLEY,1,3.2493543267214458,0.7711937880520711,2.3354005160794387,4.058804090945903,14
JOSEPH CITY INA,1,4.050960421196177,0.9794663216508325,2.7763843161531834,5.22141869145005,14
BILL WILLIAMS,1,3.276855144054956,0.804660571514617,2.3373312108057527,4.1299592534224985,14
PRESCOTT AMA,1,3.4351517938340455,0.8303329318839752,2.533061966857355,4.3581034527019655,14
LAKE HAVASU,1,3.323024898137027,0.7364026652061431,2.4058104081441014,4.0365264045308455,14
AGUA FRIA,1,3.307451198442893,0.8299858516722036,2.3689178316599326,4.234129688136241,14
UPPER HASSAYAMPA,1,3.2248674044890464,0.840667091612315,2.248304463413539,4.1529958899709305,14
TONTO CREEK,1,3.295317643089475,0.8289933425371929,2.3381331627903474,4.192507699229662,14
SALT RIVER,1,3.4143838798379824,0.87309282496337,2.441560010093341,4.347156554246033,14
PARKER,1,3.30252457527704,0.7336688498707113,2.3499612231728406,3.998396384758079,14
BUTLER VALLEY,1,3.2448135610811994,0.7935787315951153,2.223449659196154,4.004494060977368,14
MCMULLEN VALLEY,1,3.210364538277261,0.7869817919623924,2.2524541533211013,3.971233835768706,14
PHOENIX AMA,1,3.2157037576674155,0.8132497132786644,2.290557323201123,3.995181757502387,14
RANEGRAS PLAIN,1,3.271307639203553,0.7602011980241932,2.2902205269116154,3.972747036872298,14
MORENCI,1,3.5048410454416667,0.8761352691166839,2.501794174475682,4.439711790736302,14
HARQUAHALA INA,1,3.1942011713640985,0.7807493174377655,2.2173825768291993,3.915247492487109,14
SAFFORD,1,3.5142395072997283,0.8719600008231917,2.4803605661997596,4.392082651796387,14
LOWER GILA,1,3.2188842914007028,0.7692211758009048,2.283764890887661,3.94659461607381,14
BONITA CREEK,1,3.5885881445349854,0.9054363259217576,2.535231580614183,4.54835031856707,14
LOWER SAN PEDRO,1,3.369926050931121,0.869635243570088,2.387488531168881,4.27448350226662,14
PINAL AMA,1,3.258824681291844,0.841974784504522,2.302890673431108,4.040892745237504,14
DRIPPING SPRING WASH,1,3.3885804846347845,0.8684542850607544,2.3811422212853737,4.332979763952769,14
GILA BEND,1,3.1960642417102116,0.7792457079483978,2.2714327016062867,3.8987236650570964,14
DONNELLY WASH,1,3.2972724212147244,0.8567136422430488,2.326870325770494,4.20304879701411,14
DUNCAN VALLEY,1,3.5173025957495976,0.8727817827040998,2.4823436853511773,4.382884728997684,14
ARAVAIPA CANYON,1,3.4261159171571944,0.8790311314731558,2.4087008918314123,4.3359515496132,14
YUMA,1,3.273440110391629,0.7567440386704315,2.320418405863376,4.074710991498182,14
TUCSON AMA,1,3.2824659168507813,0.88633396898943,2.3403870826880873,4.18980158420388,14
WILLCOX AMA,1,3.4510217889012815,0.8746225269653994,2.4630547790484973,4.32390412540614,14
SAN SIMON WASH,1,3.1870348178708197,0.8507373263734195,2.2325572498350823,3.9791228829803464,14
UPPER SAN PEDRO,1,3.393370100357231,0.8817971614703448,2.444631081055976,4.274197059075494,14
WESTERN MEXICAN DRAINAGE,1,3.1998269785533684,0.7917468500832024,2.253394441335008,3.9458972793521228,14
CIENEGA CREEK,1,3.376035673014735,0.9061194638836141,2.4436533342383617,4.327994207751873,14
DOUGLAS AMA,1,3.4005855078135907,0.873688912550288,2.463409640128355,4.252872359268898,14
SANTA CRUZ AMA,2,3.3852216468302436,0.9384850841291725,2.3914705350748786,3.9957742775509764,14
SAN BERNARDINO VALLEY,2,3.5228307143957203,0.9710576655400843,2.570007022840508,4.237074106066587,14
SAN RAFAEL,2,3.4594261673427913,0.9635247289774125,2.4881741840300653,4.140774656191068,14
TIGER WASH,2,3.255598904128051,0.8847897451079022,2.4318644391604045,3.7582910548582666,14
VIRGIN RIVER,2,3.4690222982585177,0.8538983451141127,2.714151648945977,3.910854140473028,14
