month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,3.0258819750183776,3.2320110975041683,3.100237686825491,2.98710581445119,3.3472923945026842,3.4459089662640383,3.619218995251604,3.756547730229184,3.8527718755508746,3.320561347884108,3.5423941730033843,3.242463123884202,3.315747004046582,3.276122222346078,3.1752273066686727,3.4054253748760983,3.2855786525832005,3.214427925822467,3.044900496826554,3.5377076280494753,3.0509946172453417,3.311515854563716,3.123769917496405,3.049313667339699,2.9841599621346813,3.146756630609061,3.2101785278610793,3.2366186811654867,3.060721959055637,3.014215205015687,3.020052609077392,3.1189105397010137,3.269002052437878,3.0188539544221475,3.27254756258905,3.19209272216077,3.243281852705376,3.1057771929577456,3.1228935351957836,3.0746055129540157,3.137478987935396,3.004858602602978,3.241446843876306,3.1343653251523325,3.353706563359706,3.0589502033506806,3.2389060027795162,3.1221224823793876,3.199725791566721,3.2238905541549077,3.0995481263107516,3.2252874248010617
2,2.209897465052417,2.147951518315344,2.2145795674862323,2.2176329488691593,2.7536432162926925,2.880126477044556,3.048392579239263,3.0854669067238336,3.1470720013202422,2.7340419804446046,2.9841991100817498,2.5907502711049153,2.6065264252016034,2.627603363883607,2.521443300876895,2.789555755432085,2.68281172161143,2.5740996551993685,2.3718761413461684,2.793665367630107,2.3576413573131307,2.6501996209069882,2.4372320717143157,2.3220606472938097,2.288122080171668,2.505474987837929,2.566552505599042,2.4820395206356993,2.301191024669035,2.265401699864452,2.222923573041903,2.3515803683784426,2.55383172512252,2.24515309831877,2.2681099293064078,2.314272735151247,2.3739383010471244,2.2176929169032378,2.209475478758061,2.2329594475579433,2.2680340217007893,2.1682353008945467,2.3196248224463085,2.2337463526693786,2.5290035454576203,2.182308117244054,2.2468553853027196,2.198155200872316,2.2513581184232083,2.294319857427101,2.2482448557817545,2.221981746380905
3,1.7479754392620976,1.6235779601859162,1.7849908662672456,1.7645324601167236,2.054023766706823,2.101654738037606,2.2684226688891576,2.4100621464315695,2.334277769650813,1.9873828410458214,2.211901255298149,1.935139721202718,1.9228744563817055,2.024913197652452,1.9515776424266345,2.0253928388095988,2.006278726038178,1.852065506442507,1.7872275952700176,2.289213754121428,1.718793666231476,1.9792155951978083,1.9160133629197322,1.6905949659062562,1.69650693678343,2.012766028088823,2.066520364928097,2.032255170451101,1.814125006234899,1.7474840528578777,1.8141440745895563,1.9027912440505197,1.984660631277628,1.8758178009595925,1.679417061959717,2.021981655137813,1.755317423343929,1.7122233626507772,1.7994161032920202,1.6924086124880668,1.9939987046145704,1.66749338371896,1.6623210073102144,1.6962681967551068,2.1913514045346254,1.7459972733547788,1.719343654365651,1.8619508336966555,1.7597948457318706,2.03386022331207,1.7433173694167479,1.744903711143012
4,2.7309538993802613,2.7463248388258865,2.7770321226654358,2.76718055478075,3.025725586093585,3.022676848755469,3.1175280762437363,3.1150989720376554,3.1972373671484253,2.957288331146318,3.0299008608036657,2.8637559166609408,2.9241682991496916,2.872684068533423,2.8165391459351192,2.898463138534664,2.8673902885520617,2.8275722058615065,2.7783062182924176,3.065926675893801,2.7809286228311314,2.8299049183776686,2.8026873264891288,2.7726039762062142,2.771126409689472,2.833359189661971,2.9152008479533618,2.818564374388412,2.7765913922138195,2.7432891058217166,2.853412487135991,2.81945333034895,2.902507164711702,2.8311857498150728,2.8940554619591192,2.7923643504509155,2.9402500691905713,2.8213057705284044,2.8368739479831713,2.8791388961245374,2.904298304817402,2.8196324937973545,2.9238771980923706,2.832388733694072,2.713347726503344,2.8003900895149845,2.8377760127367044,2.7411199655128153,2.8123913008703245,2.6470924315757434,2.7587262889757147,2.7966680070427676
5,3.6484617115440763,3.564307226897129,3.621514989772998,3.5761719543980095,3.7821912781674953,3.8291497040018667,3.8635769853615844,3.6664162307312305,3.8193965469175177,3.7805156563473474,3.7993508540278005,3.7257083122686394,3.8315527494489405,3.6910340779797077,3.593848000394319,3.7998396981729137,3.738458341117254,3.768191689766542,3.648246987291094,3.599920312728461,3.67199482046588,3.7443963118944397,3.5803156685700026,3.6874248096175166,3.685277657495764,3.679133479478912,3.663816713523064,3.6371587800693432,3.63616199145905,3.566505198940075,3.5848962241531193,3.6052183870051584,3.671358128320758,3.4662109348616883,3.6773551561001367,3.4453466442527567,3.7517167323990517,3.653922894603362,3.5849356742980527,3.6215365196609945,3.5288706962333403,3.566858306965283,3.6852209537817733,3.6560058258836183,3.366104811945491,3.6206969524222314,3.637046210116677,3.4277806570421427,3.6515944143431853,3.2845935397461647,3.664923373467986,3.6197538745015865
6,2.9884565377217447,2.6572970373718836,2.9088082445244376,3.141454979599414,2.9942304208374946,2.950931964514199,2.9716250959406754,2.9351585728836285,2.9661202364789947,2.9827286280094487,2.9595249651913957,2.998646495596497,2.980268740310206,3.0667238538743495,3.212565462622047,2.9761129000110054,2.9921814863614498,3.0102192655529847,3.0852198095090664,2.9466208294596172,3.0732054688196206,2.9908788275738756,3.270835627256666,3.0014209647368673,3.0565406107087076,2.937974382857327,2.867277949819929,3.362097716646485,3.127856228098465,3.149703482309844,3.183700034084718,3.213337675027627,2.6822114237302728,3.219629935789545,2.6650253126735484,3.319634561581538,2.7059954391148127,2.8474437187442208,3.165499690577453,2.876768030111047,3.2442476898234345,2.9522808515983976,2.604799584538518,2.8155122557737666,3.3920053229781835,2.9725398643301024,2.680994147662975,3.2293371199928753,2.7846198502171813,3.284142533647889,2.8991718137071056,2.682776226159766
7,0.9721546601055311,0.9772226968159319,1.194324284091944,1.5236720287878673,1.9948313919204173,1.983302995174073,2.131497557855519,2.1694623631266348,2.191711828746873,1.9849560069796408,2.0427726774372594,1.8875537619743765,1.783856227314005,1.9109720538667572,2.010317820870228,1.925510769553714,1.80027328682632,1.8166476251949433,1.8469125404928435,1.9916860050087828,1.7130908513100043,1.7553638252771935,1.9255573422456103,1.574061729942573,1.6014718279239613,1.573720961327019,1.6198870407666568,1.8617668675512624,1.601317750263353,1.6067489588368058,1.2337458336239748,1.6075874018659841,1.7070310906553845,1.5582598360372955,1.091257124627645,1.5262067697345068,1.3114596937693492,0.9765445491604791,0.9357574381489681,1.0078687412852625,1.2407657406032655,0.9147001372684617,1.1932268874621266,1.072919279555043,1.8101999482976712,0.8854445924692772,1.130399880703368,0.9766210331558356,1.088546313424031,1.43621542932693,1.0915586055301079,1.049039636474232
8,1.8542847292823201,1.9419105762906295,1.9911954320532508,2.128491718740327,2.3137746580692786,2.386631740141346,2.474788523508517,2.6338776205171435,2.553133245640458,2.3164120304296745,2.4543536302643894,2.331611048155161,2.257096649787381,2.259209242279484,2.3367397063503814,2.3598398165648815,2.4292661749367506,2.328991332912777,2.2915017314119432,2.5255524275718932,2.285837786763823,2.3613088826092197,2.247672698708551,2.3790581033323326,2.3240099883775214,2.421395146597378,2.42881566525015,2.1474402402837858,2.0958175654024926,2.172680917606099,2.073911602799957,2.078472529467141,2.439975849686079,2.048938015204464,2.166371297316928,1.9126786242125493,2.332737511076247,1.9711101670867197,1.8938127184711528,2.1150645953578637,1.873878240639675,1.9864218286231365,2.274485616421419,2.05046404141157,2.0625839046002836,1.8487777516190245,2.0675844230870237,1.7781379923691336,1.9315412107989738,1.8089448478370487,1.888198846927469,1.9457872535092429
9,2.200294896367026,2.196954976197444,2.250234328020636,2.438907088809586,2.8434040068692275,2.784503535045609,2.8523632517424176,2.7285465909986266,2.9930006198145507,2.742073744805879,2.753819700008189,2.7121839275163713,2.6692451166034616,2.655692345632599,2.6860444939114174,2.718943944009944,2.630005734247109,2.633163287403223,2.5942964668509148,2.5757868488146336,2.555981020585075,2.594285693643604,2.5955235667622776,2.5500534038517633,2.48871399559311,2.5753202318606916,2.599603353417987,2.591313059111203,2.4453117778453444,2.4449230265860638,2.330311178468028,2.508323631708395,2.6921654232210086,2.425239729681567,2.488211446917681,2.4177954990095163,2.5989677150416597,2.3584375764355103,2.1556588434044306,2.4120892941121617,2.254894976373872,2.3030704109339806,2.5111937538892803,2.4464147477634017,2.5226139509318304,2.2012560535924828,2.368111281547406,2.1433734268870372,2.2822305732543073,2.3092166584970464,2.2398620009064127,2.2170994079583792
10,3.746628266745707,3.7190873927376153,3.76195754652886,3.8303212996344906,4.277168667335355,4.188180173684539,4.233145183028757,4.088971925648399,4.398189545597101,4.142023716816564,4.117335233834788,4.098643431906027,4.179551815687226,4.21376162936856,4.163758493012673,4.0392760212406165,3.8263634776001285,3.937777234479342,3.9310983531111034,3.94233829481667,3.8419339558898336,3.83241890789714,4.020720379407539,3.747689421816886,3.752281027490057,3.750137377886066,3.8023027634787177,4.048051447030286,3.9262297099994887,3.8340475026997796,3.7551236305661897,3.9612718590304348,3.838674611702651,3.8075623056214356,3.84151411172258,3.875047111002863,3.864590271174773,3.8003087675523908,3.7655795200933313,3.8128042722373983,3.818081603031807,3.7599259681425345,3.861947806072583,3.8328472542234593,3.918837903361465,3.7692216873292574,3.77221621779523,3.7776018340923003,3.755090787281277,3.7964872156231135,3.7343314695621155,3.676502406659637
