month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,2.430830633879633,2.4990231946130823,2.5065798868823563,2.6328160942843524,3.1330653467951737,3.001070228896405,3.0242537104389053,2.8010241482732288,3.131798716454204,3.0213622215543197,2.9114824266779777,2.8690315062609546,2.945800250293157,2.9038829804717468,2.869933596130498,2.9031249105409183,2.698451145604542,2.8717730416587304,2.8233858594188606,2.5931995727412875,2.7463060106411126,2.6488024552390703,2.7840970072142244,2.670159046666143,2.6619302045280384,2.5052503014885152,2.458287674473919,2.6794105381795608,2.6934917495797013,2.624829818715729,2.503876644761009,2.669871668608645,2.496585170346087,2.5869276590091905,2.489586917565879,2.5402536170891783,2.5602921155725875,2.4471761903959353,2.4568167897868154,2.4837540347427804,2.4856197576107486,2.4555710232964127,2.4846054383223293,2.464846919228771,2.569448861025521,2.441039775879265,2.4438336175483233,2.466020163631854,2.429454927076342,2.501021811622476,2.451983593905996,2.431351422903083
2,2.338490772661461,2.5113043929340284,2.4267295501424133,2.406196742520745,2.6307050337602838,2.7090780182865024,2.852443309603262,3.0122826494386556,3.0648597364728656,2.6058802209334746,2.918707324773497,2.5115986086366426,2.547133799603141,2.5554337493994517,2.5181768722626483,2.6715642892064393,2.5981249386187204,2.579643191752881,2.3635334460763384,3.1242822590170674,2.4220079480675736,2.564692207059505,2.416461997402614,2.4489554187835054,2.347433435375652,2.406552205151723,2.480283643738797,2.3683404308837117,2.3561169881300548,2.3699658085739688,2.2807159085633333,2.3860762752879445,2.5974042392158783,2.316794862928483,2.5230958494087274,2.323254213882571,2.621306765545969,2.4153206216366185,2.321702455717784,2.409614376659347,2.312456233798944,2.3262487453715917,2.4809443647845963,2.471463404311532,2.3534648291437663,2.319677926754305,2.491399719788966,2.2326572555144866,2.4480076611107973,2.2860613821219067,2.4401862252913236,2.4419389445209885
3,2.6606681487000285,2.8335272063295216,2.7305042791703786,2.6490962862898604,2.8034949593523364,2.844873070101238,2.9401995726376735,3.02910494035961,3.026479102447188,2.778074034234466,2.91781963418256,2.7010653784398255,2.7374302185118284,2.7306108421625543,2.6804994730065235,2.781248154013715,2.8049936115421743,2.721710148492375,2.6289520093250647,2.876682969750309,2.6660976993947725,2.779165644543938,2.6518973034926403,2.6776156588109314,2.6319845557347077,2.7456112871747838,2.859701340851675,2.6577841520126246,2.6510955000241117,2.6533420301035155,2.6138874551128053,2.6724434852036674,2.968143214227184,2.6094856748045614,2.847325777327662,2.608434739080938,2.927371723870598,2.7377628708998523,2.6578412348901073,2.7235254315718342,2.642808058717138,2.650491121701948,2.8612936289277364,2.786635830169749,2.5800930477050366,2.6617225874681787,2.818939786620941,2.5894455285530507,2.752629142672897,2.5200167764368393,2.7268852807470654,2.768865600199261
4,2.883867770936723,3.2174812946253475,3.0179137213180423,2.7770565429594702,2.918522986872045,2.965061060204705,3.132223532197882,3.2330775946385892,3.263187955582844,2.886203760258516,3.117376666604234,2.842118958691204,2.8717856961146135,2.8303295818073457,2.7774981749218015,2.916704102029769,2.9792732814506757,2.8514696639353763,2.753398175148886,3.196515555830482,2.792324778313982,2.96017566705371,2.7370103157874865,2.851095375402679,2.803062050065687,2.97815865146463,3.1800798558336743,2.6744204386376085,2.767015928190372,2.7467780894861042,2.725147372296939,2.7578527531949546,3.4065193346948472,2.645716905526233,3.213873327971739,2.6051357623739944,3.3004317858647956,3.0038199697272403,2.7960278510544736,2.9826989100479016,2.6707089502827097,2.8811227412444076,3.310988701075114,3.0800557574760887,2.512951917403458,2.8886813687114943,3.166382465333777,2.6264493057504463,3.0545656947457998,2.536524898201647,3.008766437054368,3.093551721245196
5,3.1258356786272383,3.392064173962808,3.1671459000625557,2.791552317192401,2.6260303566119134,2.7714239506389267,2.9943363539090884,3.1919260365890625,3.043198864730237,2.651232929601905,3.0105966648419984,2.6416607768103666,2.6721455120749846,2.5924174647161395,2.6015114390997396,2.7611184931372255,2.9932826316068515,2.7596123546039633,2.639045404995178,3.092835706504532,2.772990786614461,2.9451126181843805,2.672909367983773,2.907056107704338,2.8695807692645214,3.0364219439975133,3.262568445913832,2.689422605688644,2.7279467864622866,2.7310147488317886,2.789040030741461,2.724328665464716,3.5180208431891153,2.692311485315229,3.2605535679103705,2.7548331736680303,3.3794027843055687,3.0224270944446157,2.876030410882133,2.878560703217271,2.766274600123298,2.8255181890255665,3.398086157316471,3.0810414379301276,2.7337931646617846,3.022904534657211,3.2532612442892197,2.776326102595401,3.212477760371451,2.762892992930361,3.19760479865095,3.2509036672558
6,3.768115944602584,3.756897513121772,3.684061932402109,3.9425427760599185,4.110110844010746,4.0758298969422695,4.122293606919854,4.0238716424716525,4.155763540085794,4.084672654093705,4.056117849815197,4.03862500284631,4.136897051326809,4.1038572078307185,4.055762998058481,4.00701427212511,3.9767574680086586,3.958468197922707,3.9966161284936192,3.9355889493661556,3.947003860196116,3.9510573316953628,4.007503497951329,3.9602013321386336,3.940379020745697,3.9111104041787743,3.967791156269196,3.9071244371710607,3.9303412666638926,3.9290379550113594,3.9189992972468786,3.8996750619091176,3.9499123393233777,3.9349082347310587,3.858845462402627,3.76316079469178,3.946327535097818,3.796439817626199,3.8680256998726845,3.7750164473985297,3.8701050573078444,3.785549412137117,3.8823327950809086,3.7739308461235557,3.6127037039376537,3.792165138063952,3.7824696444231316,3.7468496847073567,3.748237822651999,3.6007304146796355,3.749355127043615,3.755479290253019
7,3.9091755303715847,3.8866788453995174,3.8252511314151563,4.336227550241485,4.500604193020673,4.491911532721367,4.457620919368869,4.42545394010066,4.520899896730824,4.451772997991649,4.459318045003276,4.456204001130129,4.483224174987941,4.460378317589775,4.465746246289356,4.463054184847295,4.422260329306208,4.457837394490496,4.420641996014214,4.32240009252739,4.422092182077812,4.447540076980733,4.394100074691432,4.387195611977267,4.387511829460316,4.284131787003795,4.266079153665989,4.390542036144942,4.350340888400561,4.376512612020879,4.2626334883659505,4.3913815858099685,4.281381388700724,4.304864434927857,4.139032842290101,4.23103104368665,4.233252530813833,4.09842676592007,4.204678090838654,4.148728164457343,4.187729543198347,4.151490853598394,4.148898886135228,4.080399744191688,4.18449731362772,4.03895795166475,3.982577519071246,4.008735205758828,3.9154948569410304,4.001629395348332,3.904115890814335,3.917925104406492
8,2.950759000786119,2.8496506954111673,2.8206607622246493,3.324333182166174,3.782296542108701,3.6553685011825245,3.6491751325346886,3.4487533520581395,3.739770019672661,3.718721774756879,3.4982262795738452,3.5921591488159743,3.653407647804796,3.7036792654596025,3.7355185956921617,3.531970069624279,3.2514838321740176,3.428716823646967,3.5216524014792214,3.3222692135647005,3.3904991734241925,3.268258577877208,3.6209996707104346,3.1893377133755894,3.249744257331862,3.0813873395408535,3.0140222684834,3.664132027522984,3.4467083142839328,3.4241910749474194,3.31369970208419,3.4598249873850593,2.971934394306255,3.4495313247072787,2.8899256358512555,3.516433231388769,2.9308942064253456,2.966304704389007,3.1910050969021393,3.00361400759971,3.3665530998812723,3.064994665416934,2.8861321031892597,2.9495656452928785,3.6033790386950906,3.0278095737364685,2.79925821028131,3.216843747536989,2.8291025321374184,3.5010577127300824,2.882723163111556,2.804962013769362
9,3.7008786822390354,3.721885949339466,3.619174418964654,4.394033719891825,4.840756102009122,4.75507059582284,4.796302153148763,4.4850589236103415,4.920407682774359,4.756583408677716,4.615582193035378,4.708528135155441,4.752049895705432,4.8259839018079,4.819198710752251,4.614555659239045,4.30566338501645,4.5031000372456065,4.5963829256179185,4.3279626053223375,4.427905585413236,4.3184860266665765,4.6973479745830184,4.263116183333138,4.242859708042114,4.161288280380945,4.035827988536557,4.6746119895683345,4.482734673800883,4.489346574795961,4.304947704237011,4.589913223457397,4.0513097831993905,4.511301749908611,4.030553250580534,4.439785262671523,4.046941189996927,3.947017325440428,4.113761317892506,4.0247238279874225,4.353036590346719,4.03637074033914,4.050547526183538,3.9405510133285984,4.399739271338489,3.834117401473381,3.822000900669179,3.9818185492624236,3.73671515172502,4.2048126962910155,3.6979180002565033,3.733336241128722
10,4.036622053724173,4.020177206832439,3.9354970767817865,4.243749402986352,4.358115326256308,4.40929268102092,4.447424667876931,4.453953245219223,4.468734074122875,4.350801486567623,4.454102611236196,4.334660302614367,4.365975244544903,4.287800076798899,4.231918361865034,4.386321399504624,4.33129456446872,4.3590981000844335,4.228107972051036,4.388550798649785,4.273844371781019,4.349285972394991,4.201463399905407,4.287616960957036,4.2643217444998385,4.228316537886631,4.2329494781018955,4.212787499302535,4.267455932587525,4.237342687396375,4.260674943988653,4.244519470717702,4.195324113515428,4.137335492445398,4.199696217221045,4.134148129095131,4.271863074708781,4.1924556433191595,4.2555913545260005,4.23460641695947,4.145129619409139,4.2182811607438895,4.204912136093476,4.196415963066239,4.067529334415648,4.128995325747029,4.0845515580646135,4.088237146596572,4.048096229354671,3.9770836079730993,4.032400323405277,4.036792739367689
