month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,-0.3310852324677107,-0.35844974390119855,-0.3869319568874841,0.16647837417886527,0.05130796397663405,0.10900807249070713,0.10021829540345907,0.06950742212765319,-0.0031462880364927464,0.027369407831850025,0.044911304232940805,0.06890212845328586,0.0022382051592443764,-0.07535150429863102,-0.0023329848320124474,0.03993742865377001,0.02312595871555185,0.0022313903395246963,0.08108868504543323,0.1249014222935471,0.06879961850906621,0.06243378798845292,0.054534968924761555,-0.1528525273237044,0.07798257897923136,0.09611945952795457,-0.024940665378336873,0.14646875474491938,0.12739630038185512,0.14904732313136385,0.07165840801075617,0.1665070856725589,-0.4353178312509223,0.19312211051319106,-0.2682210466257202,0.11833929990568724,-0.30346241539749225,-0.18407749377856547,-0.029721113498555708,-0.12080832973814266,0.10853834944138725,0.053131388012013434,-0.3372687230704035,-0.20718515499850457,0.10728857525621967,-0.22376294515213627,-0.3123464233804647,-0.14335391242522144,-0.30114669460542837,-0.04820571851491979,-0.2879468852150811,-0.42618144580612954
2,-0.9075707312268061,-1.3980149669693684,-1.3604030493238592,-0.8473408280686333,-0.8498285837490005,-0.7153219217429772,-0.7948008528512298,-0.4332189718595589,-0.27493293414991066,-1.0761204180127903,-0.5275608067801678,-0.522952365616939,-0.4876162341359675,-0.46459408491565,-0.6409942604769164,-0.6507765625650253,-1.472668163620425,-1.154872084610754,-1.0319206515767336,-0.2454324416322132,-1.28275107990445,-0.8053586288422968,-0.712342144187893,-1.7385239965062853,-1.6676230304695798,-2.0516127455716595,-1.826732306021452,-0.5197493463264246,-0.5260456035544934,-0.8123307593631529,-1.1244054663005376,-0.6245757687325993,-1.4383975043050088,-0.8053803686582616,-1.140678848553433,-0.5915001105500347,-1.70422455469014,-1.222297425589824,-0.6958872419037344,-1.636310890359166,-0.7075944007523155,-1.4360094788595694,-1.2843325364822542,-1.3725548271014194,-0.4648120137775048,-1.1284432502828536,-1.243439420281603,-0.7723411614859257,-0.9284789177063077,-0.6405113996719776,-1.0749338560223145,-0.81777351341986
3,-0.29349387259590753,-0.35698756967527806,-0.32494896423676745,-0.1725579319557423,-0.21313030540154435,-0.1779822354221191,-0.16791333305039802,-0.20074327610245193,-0.11206679561717914,-0.2234199366447714,-0.11942524814600437,-0.2313565971174636,-0.1720830018427732,-0.17569832947421457,-0.2253807878271904,-0.17786137484706516,-0.4781478368374372,-0.3013153136999196,-0.3483451065820239,-0.2240607539002951,-0.4039166210683168,-0.2404680439179976,-0.2864893480102038,-0.4245060312958145,-0.4503059448730963,-0.6833483244006915,-0.7184396844777344,-0.16864624285262925,-0.19025611659636493,-0.20727020786550746,-0.25875760736301473,-0.17732563413193936,-0.5224360437780475,-0.20757046744591648,-0.37796909611608226,-0.13751174379127862,-0.5708989585550651,-0.4451390444853362,-0.18986487560911128,-0.5368325076169034,-0.13862045101239395,-0.4165941313300159,-0.3150796101650331,-0.5348661607545443,-0.08265358595827944,-0.3462518273307361,-0.38121618690120923,-0.21353741071090518,-0.2367270257675688,-0.13706659072676627,-0.29662319136773385,-0.17023780647489795
4,-0.19038627654048287,-0.2057975108156795,-0.1771875160986471,-0.07109939882008204,-0.06934988623507896,-0.0602370103713715,-0.09403647624989767,-0.11999151053224157,-0.046790428723929384,-0.021334180575146987,-0.08720146007368745,-0.0264658693709493,-0.01871176588999263,-0.014618005741343212,-0.02228610824499075,-0.0791175339003185,-0.22534779292509202,-0.11391682514071429,-0.032498173813806874,-0.047482171876725036,-0.14631977091029683,-0.16633336844150898,-0.032927519995716296,-0.17798026861914967,-0.19082685542270794,-0.25851038032791623,-0.2907388340440667,-0.029191392686795707,-0.07635538618101023,-0.09915028417731313,-0.07873863847672034,-0.05231622357114061,-0.318588929758766,-0.06288578702585611,-0.1768903417094593,-0.042389656960371926,-0.23055859992512495,-0.16171692386451103,-0.06576490061532905,-0.15232120574688082,-0.044770354549605984,-0.09784676966299939,-0.1883994289863249,-0.18241739465832965,-0.027862725527117736,-0.15610080746622476,-0.21344543165649885,-0.10033239599486526,-0.1863427065413357,-0.04583491794606769,-0.194368940291826,-0.17090510848210147
5,-0.02082448459498938,-0.030388699512701255,-0.02512718491332101,-0.004854729738571002,-0.014231042803407238,-0.05468643062250912,-0.12085638969668361,-0.05351756626746676,-0.044716736846568676,-0.034704662330315626,-0.10342805698202145,-0.030790849975058588,-0.0010690037832277448,-0.0028739308179584577,-0.0003176999108984421,-0.06274072498006407,-0.06945637123793615,-0.05418489791745073,-0.018738306898220126,-0.048088813963912264,-0.03587253940340338,-0.05986600650599065,-0.01192906824447489,-0.03522513029476506,-0.054497261692732474,-0.05929400462584229,-0.05043712260521508,-0.009056465900310898,-0.013137248286942632,-0.013007895256603572,-0.023309692617386215,-0.010549823240573377,-0.07864069883901459,-0.005453725666102008,-0.02307754297788933,-0.01035765729473931,-0.05613701379746076,-0.012882720998293552,-0.015887048556344197,-0.0033670649766407885,-0.016678551266546618,-0.005201261982876964,-0.06948902133679095,-0.01919107709640541,0.005690771916069906,-0.012998947708984892,-0.03812017634722278,-0.009396399241187044,-0.014679318203950608,-0.008634458596738757,-0.0068384170381303915,-0.029546551498611965
6,-0.17368092402540958,-0.287350570973495,-0.3142046369989326,-0.00959482775872781,-0.012538860258558198,-0.01111714070570617,-0.05469439048905921,-0.13670887536424894,-0.0451310789960072,0.0027984933802807075,-0.08905002583326382,0.05292142613451451,0.028701706724305276,0.07488870324076921,0.0414813166126411,-0.011161493274071293,-0.12167426550462881,-0.005659575861245788,0.0487961523363219,-0.13419804752496187,-0.014811294958154095,-0.10504306129625506,0.013828006856047478,-0.096893706222281,-0.08737489991203454,-0.16226838675959696,-0.16931239625522215,-0.003363093540337946,0.015661418238687205,-0.015580758990188305,-0.06709451311614788,-0.009342870900728094,-0.19851537482564832,-0.015412196138486925,-0.12262437003849534,-0.045805118061918386,-0.096032281999583,-0.09431425109731419,-0.0905675183364076,-0.050854153796019874,-0.07367840867412036,-0.06973046865434028,-0.12227085776870078,-0.10771583637510666,-0.02074204854770486,-0.09795004668473142,-0.19889306389570138,-0.11066250578108704,-0.22783869341959043,-0.0638712643429712,-0.19097785729661745,-0.2408693937120794
7,-0.4863570491854223,-0.5080682684641722,-0.6966014072602705,-0.04286477708372053,-0.049798521677909234,-0.0004922782315586099,0.02021605554112456,0.18112393820283298,0.08942089362174542,0.012671392131905138,0.08600201102065191,-0.05312473637071054,-0.07551877859061376,-0.017926586901917823,0.0372408483767165,-0.04805636805355456,0.0359834750901005,-0.013503225417292462,0.03034486588016729,0.2440682632312161,-0.027564652315904846,-0.025765687383112773,0.03939937193227735,-0.07658903542219532,-0.1300403282411928,-0.1847468543479542,-0.22602476400007274,0.08071066086446874,-0.013774606176776087,-0.019251378484348075,-0.02827678999816172,0.11314041605852848,-0.21596236256910825,0.08742119508448179,-0.4229370192775297,0.031240784087348664,-0.4760944346584898,-0.35002606388339186,-0.19614259885549387,-0.32654347713198245,-0.03871555186489803,-0.35815580168340083,-0.29793370553888765,-0.3829736273619598,0.048965981233192325,-0.39069118715998374,-0.49915031889625167,-0.12390422202186106,-0.5481841754615318,0.05610662847924176,-0.6500764965040224,-0.5758557850791424
8,-0.7129566899431897,-0.3490534748480799,-0.6256433209550011,-0.40942700563465273,-0.891585175367781,-0.9093961643570131,-0.741296627178341,-0.4552055160332399,-0.475040382586915,-0.7611280590348736,-0.6310744738670541,-0.7052114024646938,-0.7598636728413487,-0.4521619622296213,-0.41168003450498614,-0.8918024556016502,-1.0001076582414237,-0.8469099928284096,-0.5564744322605483,-0.3218213691319461,-0.7331977780493525,-1.0530461181082176,-0.40036032977949265,-0.8503611890274574,-0.7719948212953734,-1.2101928027315554,-0.9899744614106345,-0.15383443844038908,-0.4712364691961393,-0.4959119531286945,-0.5345551521395292,-0.24724822949345246,-0.8950878535289385,-0.37289739872417615,-0.6119625216326177,-0.13795780313826095,-0.7945871179428081,-0.7660462560080918,-0.22123913937421794,-0.8166943091720368,-0.4744106966018944,-0.6274586520566492,-0.712234316961122,-0.8578673063963029,-0.009103550424886942,-0.45268630065200666,-0.5926815808901866,-0.15636303328906673,-0.4350305255354431,0.0238472830325842,-0.6621639511329148,-0.25224668456423016
9,-0.25696530357220193,-0.7814814763771976,-0.2938420319659292,-0.26903434080282423,0.0031502805827063416,-0.2526264928200355,-0.2583134119272627,-0.4402333709482711,-0.3983291790084632,-0.20340406837559383,-0.583294012994214,-0.44594613546490075,-0.1930032107505758,-0.19038259777728592,-0.1868866599999913,-0.4243385390136082,-0.8398304713629778,-0.5020094801179861,-0.3737730035725315,-0.6608348039828144,-0.45728491391172815,-0.5616872022677383,-0.22748182814138296,-0.4691608241650587,-0.419446557952076,-0.9481617819844557,-0.7217765961823974,-0.15994012375895317,-0.34532896423701914,-0.17198468123356284,-0.35165194253732485,-0.2962481652589033,-0.6183083764531718,-0.29673519816043775,-0.37832503099594766,-0.12149019802816172,-0.40787542339133276,-0.1701024596555504,-0.14442141557952412,-0.2805785833596288,-0.2841432918575931,-0.2081462213331935,-0.410918455594041,-0.17141924882105655,-0.2571640667223705,-0.06006982421956294,-0.1538428068544979,-0.013697004915401366,-0.12540046322336187,-0.07441728191879796,-0.134134937169962,-0.44199192040210084
10,0.23704972907702962,-0.2990143772546482,0.13441731474965612,0.11698814014453723,0.11615363925241365,0.1298372510129004,0.16320574948504446,0.008611178683881749,0.1854436321596428,0.1378748826545074,0.15367755116111806,0.1168707946690634,0.20068710158256675,0.1471435096620182,0.12406725432861691,0.21372419686957403,0.1541934771277313,0.23364165036933443,0.110170402243508,0.00968078605203118,0.12008625744256259,0.18528658479644328,0.13198769231834787,0.25929011124675905,0.2126336114331336,0.10303286333389945,0.037068587118842734,0.12415366978735762,0.03198198059874218,0.10205915196479927,0.16164933746133467,0.06303276467845069,0.016348528580276408,0.12321996186523335,0.023847937338376243,0.17176888334558257,0.008335204292175023,0.11995211008459229,0.19333312562999877,0.05324912757114284,0.1643383587938575,0.13647242019924868,-0.06284410946323275,0.1127322103676784,0.19704329161472292,0.17388283130679183,0.013185602226460508,0.3275178282203576,0.08066014121345173,0.33613040643579994,0.27733722351883605,-0.1405800930821511
