month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,3.211838244763193,3.612370413699185,3.3600278301271893,3.1573352032427264,3.5205774295756247,3.588699537380901,3.8885596749041356,4.046744000753357,4.45783288425249,3.4017248832821663,3.8683675120550522,3.2488285987996153,3.418866809441438,3.4509732749262576,3.3815710395773446,3.363355188239343,3.2714024741272216,3.171581321796327,3.135904832883589,3.9443282578783947,3.1513513492226664,3.186128514415527,3.35792404042437,3.173734156132455,3.091020506089105,3.2085813377540866,3.367553230123819,3.3230574209715673,3.2346706928616866,3.150750066455185,3.1631652812478963,3.276498655974787,3.505782976006282,3.1440732529398305,3.6384138643687067,3.1636971584518143,3.6180426245478006,3.4284593128337932,3.2327556125463337,3.4473414706903482,3.158523872899819,3.3320747596600504,3.5706660214134702,3.5269129749305703,3.2340725796651557,3.227694077611216,3.5457980952990042,3.1008374585997247,3.435133944613059,3.1252163856601087,3.375003915123335,3.4835407007876475
2,3.345643295242925,3.5124388196290415,3.3951215511868447,3.277170834254453,3.2762855292163398,3.300637681784145,3.42683356942933,3.4187355441673795,3.533861616953823,3.260556289171975,3.4151512905207957,3.1739094061185757,3.2232288748466864,3.1942340705166767,3.2067865619512705,3.26817842153365,3.29939534414541,3.284909226155223,3.2407832393107325,3.20131641464067,3.309154766489038,3.235925204924706,3.197029405750884,3.3352340601878074,3.319418601060933,3.143158469742266,3.183342887128651,3.0712852870034326,3.231074657385338,3.266692809275791,3.254923513495451,3.183618035463419,3.3150227051046155,3.2396613174342708,3.3683719578727835,3.073049441496599,3.4159319334947016,3.3016823967389706,3.189668332902943,3.326724168509489,3.1287967298471804,3.2909563659302066,3.4259454690594837,3.338501215692196,2.96338250483864,3.3070210622339755,3.3758854107906284,3.169990721828247,3.322255449010497,3.060722761957165,3.357780105699523,3.3621522378718316
3,3.384711415959929,3.6431067770804697,3.4445730391648124,3.295022375086774,3.3035910152718997,3.312693536977834,3.308474809202593,3.3977160795802104,3.362261467408686,3.2866692669840747,3.3487410683393373,3.248020160432974,3.242805648484666,3.182486554267595,3.1437235192882715,3.326168580557536,3.4677986872333566,3.4003106239773313,3.2708492827189675,3.336770584963596,3.3816627318619967,3.4321798610737395,3.127709268480707,3.474151621843469,3.4206282779657475,3.405953552661451,3.491853509866268,3.0513480391178,3.211049944488557,3.252357361421032,3.225107175929916,3.1414627081658484,3.6072554585601133,3.104066982310318,3.605026733243678,2.961179407639586,3.675481621448294,3.492841745261261,3.2408989894841205,3.503364973337259,3.02762121382853,3.418596064746086,3.654142767957782,3.57142321884813,2.907601870700408,3.374276142754795,3.5522261579433634,3.102760631595746,3.467343254346659,2.896177421394138,3.470374772906945,3.5009345406331454
4,3.399831311154981,3.6210781467592397,3.5160685176448645,3.2845578007149987,3.3004922797106393,3.3654579739031094,3.422547834853608,3.459203251157073,3.4058462455268463,3.3070793608936877,3.4559334688973182,3.24663367410553,3.295977350378562,3.162873519579607,3.093818189758666,3.3736848881510477,3.5181148263059994,3.3687482771681987,3.2109312774735885,3.3592250374229087,3.333451644141055,3.4738306087512636,3.035915344269408,3.453852795509449,3.4522974892972744,3.522556214677548,3.6426199935637404,2.9961580035555313,3.1828744741305295,3.198279963610309,3.1365023931729077,3.105483337212489,3.7507621565810276,3.0067462135488556,3.5957178746024887,2.9610696173667486,3.705496875537638,3.4643085497721953,3.178375489711724,3.4093001710064015,2.9552446558296155,3.3058523324188207,3.636572746288254,3.564983980584959,2.9356622643670978,3.341060203782913,3.6020344856097877,2.9940922462453936,3.4805983932332025,2.8992903975836435,3.512743141171902,3.4978211864510422
5,3.8945525874233047,3.820956428100124,3.813806157741878,4.049541091211271,4.3411051212170415,4.453454639703056,4.567732235753078,4.471188112554091,4.576588629805523,4.377020698638256,4.542919046385376,4.254004419618814,4.44731143874696,4.2370374306961285,4.124631099765561,4.37836255367648,4.380546677850474,4.267616084133403,4.169717788791672,4.362467377961834,4.211711042266807,4.359860798019511,4.097480333161179,4.216849186087681,4.223319336333833,4.284859957797706,4.407303535938654,4.040931696884682,4.170616231567724,4.031956497493934,4.032470604278856,4.052250874015312,4.51809287526263,3.883212964002542,4.206227732202298,3.8095024531288426,4.427559083430911,4.065198329637991,4.0409986948735055,3.990744489826647,3.988993047239711,4.002298219711239,4.285961984521458,4.091271435152547,3.6154008823751935,3.9926896847945077,4.018795663940029,3.7416873033521347,3.952431988954917,3.526018122339163,3.9799199015867908,3.8517384948499664
6,2.8272245658990376,3.0924592276002745,2.773951434276224,2.8907603657136915,3.370265653817857,3.3966644027880064,3.4949281801413523,3.548768863376439,3.673480759711245,3.346104724056511,3.4986692223975404,3.2085144182269025,3.3702359160481077,3.257603855564119,3.133330814347975,3.256228330493778,3.2504057954643764,3.109692595034095,3.025164432946266,3.4770753346729677,3.032845938038919,3.2010349246473964,3.034090670635963,3.0260386478897603,2.9889082113478924,3.0772697803411586,3.300042024670898,2.9425568533829938,2.9531233504294536,2.8934077559493594,2.907443712975016,2.9113877359148645,3.532915166648587,2.8258427573378544,3.1901354716900463,2.6849138218948783,3.3378861460345237,2.9652116629150735,2.8764286303347006,2.8717777593864513,2.8306955510192764,2.8647582360780235,3.2915620514006076,2.939414787686927,2.672488506534847,2.858657353929655,3.071541182166681,2.613188398937407,2.9783946894845426,2.478283920994367,2.8821065716039107,3.0334868696368344
7,2.996598362235477,3.0817971865155736,2.923623249739423,3.007436980071665,3.7120465142656496,3.629411180656949,3.602928425765662,3.518471939751341,3.7285459580302196,3.6545939477195226,3.5729728722323415,3.5448269816218394,3.5626669482731805,3.5693085076291364,3.5148659683110353,3.477119728404097,3.3115636933292767,3.333607870943419,3.316956506830612,3.4926948308790626,3.224009781593052,3.3119461493686284,3.365763235988575,3.1437434103174344,3.1082635603942315,3.0237941512302635,3.125569306228854,3.2577645453866615,3.1355674332153836,3.098865302121045,3.0421577950309366,3.1107605863821712,3.2575324795966667,3.0379262370169267,3.0995349438703013,2.871156850686879,3.1016462711672235,3.0259735124367895,2.992441415924441,2.9458846787661033,2.9556215678518365,2.9653400652964597,3.1629009823741825,2.9980876618850454,2.784433512476497,2.972577551347043,3.0859535862681886,2.750646038731103,3.0622885899961227,2.644649714757816,3.018040983645001,3.116732245512645
8,3.3551377461645675,3.2384263786159426,3.2518645757137743,3.448541422445436,4.058404886658293,4.091023706837824,4.096748753959338,3.8792759942042023,4.130761988619572,4.01555957144415,4.042072103959432,3.9006375125734145,3.9634628365332736,3.8630231331462492,3.815618242120576,3.9818410620974576,3.7961108570013717,3.7977941881556547,3.656899122131382,3.834699897176483,3.637339818437968,3.7878387962991016,3.6254746526798303,3.669764647716938,3.569290541352379,3.587573137598521,3.5261024325193944,3.4305420917783804,3.438146259309684,3.5019937637791503,3.4303439562231817,3.428827438230788,3.5975694813038763,3.3735131986662856,3.499435996500368,3.0690827294678793,3.5437435391507286,3.4593637852906665,3.3163960740769354,3.432606426623829,3.220606927995868,3.4188044761307146,3.528916247976227,3.4331425236572333,2.972050775374159,3.323176120411419,3.363305866350327,3.050998153801915,3.3438674473426007,2.813804996871103,3.342631432119838,3.294748055516774
9,3.64634923486126,3.7195920647658673,3.568935012367909,3.9245989565353074,4.139017951001029,4.240460883607085,4.207376043333054,4.156782632336261,4.3052011001506365,4.155198505396755,4.214042428418889,4.14959568766273,4.175038660442146,4.097280382954244,4.02379134452091,4.21526572673344,4.135100347713749,4.1497326060005,3.982028696112291,4.139490395964814,4.026377370982788,4.13033910313232,3.885164964083229,4.07503207462348,4.004141717531281,4.062442780133577,4.019058519209815,3.858065069704934,3.9028380910490177,3.933640368629566,3.8595651016724672,3.908346692041073,4.1033509515657505,3.8211709062615755,3.9883076193819567,3.6123993214605603,4.0259226502376135,3.8062038014812534,3.782614109828809,3.8153060161885737,3.6939479033145957,3.766631965197787,4.011940747032541,3.811962137694964,3.5771719408604175,3.680420633249744,3.809122266134292,3.5711902283486467,3.736540321717559,3.4006749170717994,3.70058053082846,3.7348313959877064
10,4.203785437823373,4.245386093022661,4.197071932144375,4.159983060555202,3.9417579500031894,4.05363934808879,4.070799398456197,4.1253835736560776,4.011580385620509,4.004076784631201,4.128010374600149,3.990551737429926,4.048582513756771,3.9251864089501063,3.9122256083556946,4.098107059409729,4.211322337449996,4.146636003295645,4.053532372407434,4.034476296189613,4.142865708829542,4.213201136257436,3.94418812948619,4.2490403976992575,4.243845798278281,4.247528338500934,4.275733481774822,3.9602386999122476,4.127933328241211,4.119233426450685,4.106218642641015,4.0467481973925015,4.262158927013886,4.019727291588365,4.249704669310128,4.01532700705297,4.312400119826191,4.1890537862548864,4.183756899673909,4.1946871936463745,4.011447487852595,4.147801364559028,4.228404476531703,4.240979412245542,3.8739514279373437,4.182920223086007,4.226533779518639,4.099700063871118,4.206928775175563,3.9882559447657604,4.211168211339079,4.2130642785283525
11,4.078581057305897,4.019621544217073,4.061490518450377,4.089938384627404,4.176219612317606,4.176497105814655,4.196377378832112,4.160842299527832,4.145991610371312,4.201063401152163,4.184100260597628,4.136413182365013,4.2723033070439635,4.077890905269316,3.9517029406067956,4.139688285133084,4.166473891893822,4.169992890606747,4.101619704099346,4.021461453953648,4.122179039600134,4.181946931757014,3.9537823166186126,4.163050069390018,4.159943072030035,4.133812274520306,4.16631853337161,3.968876706916691,4.2044418419385705,4.053872163357132,4.027872394853371,4.110643445872978,4.103713538769543,3.976388873186257,4.1211920949333685,3.989307453467607,4.1907297730457325,4.1151765684932915,4.101360462928542,4.1465909206096985,4.0288181668876195,4.055437128102048,4.073422516703437,4.16447233390569,3.860223632806313,4.127977853724569,4.054528843717511,3.9830481113475087,4.055660248413515,3.972438229020946,4.130047822543513,3.9638071344981847
12,3.493942436497636,3.580200649983812,3.521967960078243,3.5358569007038523,3.8742773260764616,3.9646224340794785,4.146381073268051,4.3030807566566125,4.445772549838262,3.8056312344681795,4.13622328753589,3.6141505124373507,3.6766722163439645,3.568563267106379,3.4993186426708607,3.857504901227845,3.837043684354115,3.8080245133648374,3.5427324861692076,4.139746138627308,3.6435533636540662,3.8430272519363498,3.437142045575024,3.7298957344872523,3.661574065364286,3.66867807188811,3.7305027748285475,3.3188569372593992,3.535640909304819,3.481833570753992,3.493915204307365,3.417176020944872,3.7307928605818286,3.419573742325652,3.6966821296903274,3.353369563820421,3.8552792432204157,3.6015948875548047,3.495670518271207,3.6827213029038,3.349170994963351,3.580015915377812,3.6907097699700455,3.669998232265776,3.26298919393328,3.5601905893464743,3.605108024073147,3.4182666072426993,3.5531465814109238,3.3526908338196555,3.598701968426567,3.5188550002834544
