month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,2.0305267048302578,2.18051200801685,2.036910604358645,2.118648285984764,2.6559437723959816,2.704054948925757,2.7489800000581894,2.919510659591545,3.0438523407127525,2.5496788450152144,2.826354259331353,2.434822353201726,2.466669711673202,2.4862004308221968,2.4423484062371728,2.69302972388498,2.4361387558566863,2.5228434633105143,2.278625412911466,3.0209099271042335,2.264773521797739,2.4834589004080483,2.343884986937934,2.2758723299867696,2.163781304968357,2.2299286080643377,2.317890092176225,2.256068685057273,2.124937377447435,2.112406339227862,2.1330903758863373,2.183257063879985,2.4255200654290916,2.1188924299247125,2.37153839990819,2.1261245335252115,2.4993410278527857,2.192174582374547,2.0740515948911717,2.2042414871222595,2.1071608877179084,2.1185808315698686,2.37523639245213,2.2559647577991897,2.180253757836697,2.02546006703231,2.3231266767957766,1.911112819956781,2.2270499593765325,2.0344743091804527,2.1084442674437955,2.2429645967347165
2,2.5150899807061853,2.7341218004427916,2.6315449964345863,2.4917557313196097,2.6972266915116707,2.7396220446131263,2.8391849031559215,2.8897381717219095,3.091152020096764,2.661233881029466,2.7942426264845994,2.528158411212079,2.5818871473093705,2.5430341102144616,2.5478314074140815,2.6342123131753894,2.586895753051534,2.6378002726470307,2.5283729551629444,2.761130098429941,2.5108564732399072,2.5610738736693848,2.5024951708142513,2.532232425571665,2.500021404221467,2.506494062065084,2.5752783279731513,2.3612004263624544,2.436133121682364,2.446662321825971,2.4467065465976963,2.4208354373366157,2.6959834375511256,2.430409225691094,2.659376007581736,2.3187004581567865,2.733447978335734,2.529866864808495,2.397990051154363,2.5340976103860253,2.328151576298343,2.4863469233988305,2.65541759483579,2.5747768350328752,2.2314653329204965,2.4850937529547066,2.6357007577023635,2.4111749943526943,2.597983579730545,2.321025295389856,2.5702504097127172,2.630816706356312
3,4.355527343594682,4.319726241153405,4.437111882220419,4.2162015260309005,4.253614394327882,4.410732570902552,4.426187420812088,4.4400011361916185,4.3633616094018,4.323379203554292,4.474316336652578,4.181482639264127,4.198482464832736,4.097185390838994,4.070248200591948,4.3807986779036,4.416316106840959,4.411264358694725,4.201239558914269,4.284490649220804,4.287584151769188,4.352812027400641,4.09993387838481,4.3299506722253875,4.331558303250264,4.2944599452289935,4.393349450757488,3.986154005830186,4.142405225074346,4.1587924682207476,4.16403401645483,4.083701643685619,4.47000299690744,4.081348408506793,4.3186781183336,3.9742004339418058,4.465617001731086,4.311839470985955,4.198001423730647,4.3120386631032535,4.031413296320919,4.269386943478968,4.273227938091274,4.344129502232333,3.826901157691815,4.310936346193312,4.316642546727682,4.164728280670515,4.301080503467744,3.957477899827488,4.377268441647899,4.261653649148382
4,3.00129482409301,3.0715397025232853,3.0475660560472266,2.9322379126527274,3.178065559322416,3.2640566057104756,3.33281385662271,3.2858625299569018,3.3526713940793953,3.194420873946581,3.280746752570936,3.0719625683335043,3.126000986945821,3.0452478309128646,2.9412903149726017,3.192586021443489,3.1824174189107075,3.139007327929974,2.941310272486161,3.18805803236942,2.986431298262901,3.130400169609554,2.817081355340921,3.020727219282353,2.998402844042391,3.123576086925338,3.242647919655912,2.7882484324292283,2.881300999303435,2.882267672141128,2.873005990723002,2.8390536464098703,3.2808622577174535,2.7869080667619293,3.08844488243246,2.759912103232907,3.173865789601707,3.0084703657243983,2.892597427150001,2.99900919835976,2.802628959014219,2.935753167455173,3.1012324130085087,3.0411263784618114,2.6985290948635945,2.9748220139371564,3.068786703442848,2.79314324652962,3.0236970001257215,2.7038499166083776,3.0278924907075,3.021099466607692
5,3.900443700424223,3.8062885848646717,3.8381747491943123,4.15904396550996,4.544068238380496,4.6154911074105485,4.725956357097166,4.541560259352014,4.6538578310883505,4.549940145265234,4.648144089832929,4.451437633106654,4.583351228456127,4.420617135373194,4.287056713979085,4.557818954856676,4.510605355768004,4.491129129375321,4.3379036543679,4.449099773897222,4.3385317063826285,4.486931517249218,4.195997218844165,4.306700598305901,4.3165189721375405,4.373968395265578,4.4070012589326515,4.099201064492839,4.280752384944243,4.145581777965303,4.07662843049598,4.166925316024604,4.3573758008365555,3.9525875544778803,4.179225335821216,3.81235141027557,4.337977381635771,4.115354985906806,4.040526508186885,4.124619359004008,3.9705298870870607,4.094081589719869,4.181784377276791,4.14271211411904,3.6800940636266883,4.021646860033992,4.017570402876144,3.7764933557505547,3.9568267163500277,3.5362441083344613,3.9759961255623835,3.8591087156152084
6,3.6805532010423954,3.5782794661460997,3.5397921605902782,3.7939840725765244,4.012587338038793,4.002443391097533,4.109444257042986,4.083133180833596,4.283176889279323,3.9633323776682117,4.048311506351662,3.883519561883627,4.016770400191109,3.9691497082557725,3.8520935162266468,3.872422438703552,3.826095372935308,3.763717947226791,3.7297083951784904,4.03994823726039,3.7502927661916403,3.8053945800257174,3.760703791074198,3.74830084402175,3.7333644257640506,3.716168389576326,3.7836425801981624,3.7545993766505803,3.77451517291066,3.7712152649386166,3.77568447474648,3.7631744672467273,3.8569909124368302,3.782251351571326,3.6919232966966637,3.729055123459818,3.758060544312766,3.6497794117105307,3.765285495139665,3.61444939480344,3.7871842062922707,3.6619097032955787,3.7305283266874234,3.6138698456545386,3.5829545352911896,3.6660055824108615,3.61311499256228,3.7696947424511604,3.613918399798311,3.695166866412699,3.6278404698771665,3.616456862077809
7,2.9327272678412375,2.6217986023307525,2.810098656483469,3.576215547108126,3.9019572201634234,3.8172378051710014,3.760589614348214,3.5760445797296403,3.900550101866242,3.825855045555178,3.676900613360319,3.7655004805959824,3.757111052494959,3.827185745354424,3.875898699366717,3.6969317821703016,3.4652232435348767,3.6258779533831746,3.6820853770872497,3.53308687479596,3.604894137456014,3.512947405612552,3.758840540680448,3.4831462205880976,3.4862391084020485,3.2264408540100336,3.1014769233861186,3.689040904693651,3.6124626004502836,3.6318381745742903,3.502352847139404,3.5936946942625627,3.0398889720548974,3.6461359504229294,2.916134851268951,3.5302364559576977,2.962130215716378,2.988883419616392,3.2962953581590795,3.103502979570674,3.5220322481125006,3.1624114649065764,2.902069651928928,2.9521984403978396,3.505551875535176,3.042901919931999,2.765107684850436,3.2991941313984308,2.764053413226122,3.434877448194245,2.859410128983107,2.664832147923868
8,3.353458282523703,3.2946377054097953,3.284986919324959,3.673664230642774,3.9819345497371352,4.046642423443277,4.040862340589924,3.857624095051796,4.133182972948542,3.9257654825061263,3.9450263834726305,3.863323485447665,3.857522790724755,3.7731089674615745,3.7807024862785186,3.9377987645880514,3.7071756917167953,3.8605183746492497,3.7557778385490943,3.7709708837854294,3.710449074362849,3.6838067874309317,3.7074938569622047,3.701015258318098,3.641627535812985,3.5506539068618683,3.4853641136215705,3.692431546786859,3.6267636000084638,3.6662039892279648,3.564368749185738,3.7012828733727403,3.5491894559916455,3.6540407618179582,3.457797073518373,3.5724389250158217,3.557317115504657,3.3594734617185114,3.395403265574177,3.412897940117503,3.545203750297685,3.3282944638397205,3.493864177449018,3.3892907285254275,3.4848037213715726,3.339012141181038,3.3461673374570124,3.4108265051551214,3.299773569136053,3.4967530146313317,3.3378236741177583,3.2666208259734177
9,3.6221729958771665,3.549936190544703,3.5750538700077596,3.8078995228781944,4.04957318295754,4.029196399056457,3.968928415344385,3.8564844485011402,3.9927487441505174,4.018113518956922,3.8883574878694898,3.9663536735647495,4.010091525630662,4.020836346528826,4.0228162796266975,3.916979771749418,3.7615753624264876,3.861796888800268,3.887313094766905,3.8856325753655354,3.8118502512108594,3.761367513530359,3.966104176105569,3.726764295094143,3.748630730257035,3.755049747892005,3.74223421595381,3.9949173153832125,3.8468404581822027,3.8385821121901196,3.768870442297135,3.925276983390708,3.7910642403500123,3.849462207664591,3.7076120983957415,3.8482743490488147,3.7625737445833782,3.668945348865672,3.7264604798330563,3.693881394916846,3.7776671359190486,3.6847960601340426,3.736900560044446,3.6779142032356598,3.936495400999241,3.6160113854026847,3.629896648962898,3.6645609788859232,3.6059105537455762,3.7153053962100704,3.6021510161605192,3.5903939004808763
10,4.387975166061463,4.325780651917844,4.407616399967909,4.272946745230611,4.085213231933961,4.244563036518088,4.339163104873907,4.449867971393448,4.309079325737377,4.142712926996528,4.410568027186341,4.168623655275139,4.1603294922055225,4.0508962793467305,4.045424615215039,4.28182444554584,4.394261978900387,4.325770827855198,4.191080773867088,4.414489088150722,4.297141424420481,4.388356589736353,4.118492790600951,4.339352466349653,4.340239198230001,4.401350324017339,4.464270586713324,4.161326230237219,4.2588364855542045,4.2704264289472516,4.260115272206906,4.250731610205039,4.523950698115303,4.219463197833692,4.390769958410541,4.240930043328391,4.46606644442803,4.335211234604547,4.301951801666003,4.291867275212125,4.227056791237224,4.261796322228124,4.410584015575396,4.375815013349481,4.233250949151208,4.330114949132366,4.410660816571219,4.264298410303956,4.382579746042542,4.200351963088005,4.397077949046621,4.365003725948044
11,3.2909347589282962,3.0814166457925456,3.111469269930912,3.5367491340453605,3.5683192655575846,3.63790615401888,3.694820866532885,3.6473990357733297,3.7112580572556495,3.575902897983787,3.662798616276619,3.4997803425503258,3.599112528390481,3.516196072439861,3.533620273982847,3.5724128723606254,3.4891847180255033,3.5190168433546622,3.492021668223613,3.6692762373079666,3.48763393788486,3.475864576590011,3.5942267309202087,3.450889669732522,3.4493089978386746,3.383033215482968,3.3765468759210964,3.5357823900016925,3.5470602285366364,3.501475275453803,3.4857856960568108,3.5733602071687685,3.263357463017735,3.519918396078308,3.2172668967843774,3.5493158273908842,3.2748709023590217,3.2434162936144273,3.45214367929709,3.273268608125408,3.4481613369909843,3.327583986072335,3.2356940901774816,3.212155683946635,3.5401492219489574,3.3193802953307756,3.1370664061275195,3.405092987248704,3.1764968793870003,3.46853652966072,3.205107275977473,3.1351252820045703
12,1.2986563580241746,1.3533771123304625,1.2587345451929246,1.3839346026931103,1.5028087375898946,1.5674783592931902,1.5952344837558956,1.5761210433302173,2.0316620052316074,1.4684624827961503,1.5308242481438605,1.4007491941917496,1.3872423826300577,1.4892333697579243,1.5564287359218512,1.5097743955723015,1.3147035435680259,1.4336537117164545,1.3919493433370993,1.765062699078084,1.3805933011495,1.3313639921309346,1.496921888013176,1.3613248951720396,1.3368652087773745,1.1572323406844642,1.1267808655047336,1.4868844410642172,1.304827499259197,1.3766273310246404,1.384122262147061,1.4087842673429016,1.0883708540754429,1.4352676938345956,1.3322920546524468,1.4538360766068315,1.1963152334780327,1.2639369289382192,1.3539878548123097,1.273679782204451,1.356483354794499,1.2862179301276762,1.2799376995270701,1.229754453850626,1.5749658779413376,1.2595669623062524,1.2757780294103702,1.2802809989575994,1.3106687167825433,1.3877668928666735,1.2796045387269845,1.3664010433814553
