month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,-0.5897832264293587,-0.7560614976011393,-0.8333893502273231,-0.3983859293144369,-0.5657702278645267,-0.6165023231779814,-0.48747049675504955,-0.3285444420318008,-0.24736565436453503,-0.8564943593332476,-0.33983606537041045,-0.40799137914997263,-0.39191631712057395,-0.42354258176435955,-0.35727223626530163,-0.4516986907142642,-0.6746272941170994,-0.5898242648904215,-0.42530099709028807,-0.29542986040645525,-0.4484145740162747,-0.48288740872478436,-0.22382123132871587,-0.8674161039278762,-0.6730294276148906,-0.973333587661075,-0.806533614965996,-0.2529169296920447,-0.12018560226057796,-0.24262754769384826,-0.3601680636517281,-0.20654677156668091,-0.8531094454528222,-0.3010669890053672,-0.5960519208169507,-0.2792807586386061,-0.7100937027008435,-0.5487225220208501,-0.3715629254893705,-0.5917015140067362,-0.20914858609080925,-0.5304940670089544,-0.47499582771176035,-0.47217419784524334,-0.2822930634107522,-0.5576730407915517,-0.6795712128673421,-0.5179910709566667,-0.561762646968005,-0.27053226032053757,-0.6374210351703061,-0.525015995411809
2,-0.6781046828817314,-0.2386693311747536,-0.7118427572945784,-0.7726667258253512,-0.7693635619512611,-0.7426521160219409,-0.8319822492854475,-0.3883456176685547,-0.32583163328406695,-1.039980842280243,-0.5951162550110057,-0.7397281960155757,-0.5383037706387948,-0.5875240563107478,-0.6867778488838534,-0.7594009047676687,-1.4044834117816039,-1.1224796351940118,-1.156896081821225,-0.06634325826480494,-1.4108133765063526,-1.0825749825041262,-0.7308595540345035,-1.489146248007462,-1.5636139199936518,-1.6970865196075378,-1.2488039501407149,-0.5423773554592508,-0.6729185042204745,-0.736023059268632,-0.7952016783294712,-0.5390502164637124,-0.9962989202624749,-0.6985627580022776,-0.6069765357652406,-0.403167103709012,-1.0988460419639479,-0.614997062891043,-0.3824462253735374,-0.9357118753412083,-0.36324692323592733,-0.6656211965571085,-0.5557934774881982,-0.6969508370244296,-0.3385077799089236,-0.5284057113206138,-0.5382246905323949,-0.5152371919018758,-0.4858449974372386,-0.3332196029468618,-0.7270263975825283,-0.20936063602741986
3,-0.5541564158445156,-0.48211773969859795,-0.6598763883362632,-0.7184208402841277,-0.43082518281626675,-0.4452170449944781,-0.5010391495231624,-0.4274178151361629,-0.28377738785029927,-0.5864643217163833,-0.5208454889876285,-0.5187843947775438,-0.36037179828182625,-0.3652933593891552,-0.44343265557819495,-0.5731166208617562,-1.2182731651382894,-0.8229338639304525,-0.7051919386360304,-0.28217945268634625,-0.8981499935684214,-0.8623989165387816,-0.43507330835305913,-1.2735446587296233,-1.2057819715404379,-1.5382078813459303,-1.3290065345822972,-0.31109409096894575,-0.4570356808530924,-0.5963731948922989,-0.7888946033542085,-0.3509358440444733,-1.0682992532843911,-0.6032258123530972,-0.6177786696704317,-0.3875488363192622,-1.1436279599152845,-0.6578723391961625,-0.5320733952902345,-0.8570218105805089,-0.5268803876914286,-0.8653328437021549,-0.5200028318074625,-0.7156129830241733,-0.23319559291089959,-0.5782242055360549,-0.573398547368426,-0.5737134461770077,-0.4157027738337251,-0.447851818415648,-0.5919397658911342,-0.363658411859508
4,-0.16554339467892576,-0.2729536563913569,-0.22057313604206755,-0.1424047642165189,-0.13900821072494013,-0.17789991135222777,-0.24751810318904566,-0.2057104682905716,-0.13875379289104992,-0.16308717892797273,-0.1818010425867977,-0.11225210899600732,-0.12583465453077447,-0.10528554371643993,-0.11623509408094151,-0.1285922990245679,-0.39619260458178296,-0.21312278733061524,-0.1879498412492027,-0.18749474203515643,-0.23586434319498312,-0.32536433000209164,-0.16465314375378018,-0.34030613245373287,-0.29119212335127764,-0.5816846665362215,-0.5634133864053217,-0.13356229831369848,-0.13178570584519594,-0.14517315954933982,-0.2071283105734668,-0.14606648796428526,-0.4276571925480364,-0.14910848664245954,-0.25631975892164616,-0.12683492608755698,-0.4071768328370286,-0.2761130654901037,-0.1440371639368327,-0.2880025834767371,-0.12948408856349367,-0.2314729045721243,-0.3231535379159366,-0.30437718193277713,-0.08849581486578595,-0.20500386353480493,-0.23092580478241925,-0.12800898613867398,-0.15098558982475493,-0.12468656249581934,-0.19330591610839293,-0.1330276672406302
5,-0.1200210243888522,-0.11565876244767727,-0.15886350792645745,-0.048909163473494485,-0.07646055851881992,-0.11712702463067404,-0.17210581819099555,-0.1418123553792192,-0.0955446256711915,-0.10327563604942147,-0.16936891407332644,-0.08634958460509584,-0.0934366132116428,-0.06293999418261688,-0.04861849621916064,-0.12501427879541527,-0.20426199980686838,-0.13881010718208392,-0.07056811260433098,-0.08042531394706208,-0.08976699008993451,-0.1353030252151733,-0.03245204372379969,-0.10843911126851576,-0.09660910130440119,-0.21891214291330224,-0.22177541924915248,-0.027172704880963742,-0.028522745930695176,-0.03917628377233484,-0.04651426680061593,-0.03067115990888957,-0.22707437372460737,-0.034043354426443524,-0.11710396738283348,-0.03292900096921022,-0.16228624549711143,-0.0985673331261535,-0.05880878013451325,-0.09459535690609072,-0.04491746431344466,-0.07194164896780476,-0.11546113256096327,-0.12243244816405739,-0.014748617019894333,-0.09865638681407311,-0.13452288175523416,-0.060999288195590445,-0.14304400455835004,-0.03124070361188984,-0.15103666348135317,-0.1472164624295712
6,-0.1118110733616655,-0.04176346007087751,-0.07129731731246465,0.029920249770959015,0.04530637730540273,0.09294586448009678,0.10752493043629008,0.08810910488167682,0.16639905517040016,0.041780415654839524,0.10663406561491208,0.05378081107313067,0.058773584779290525,0.04076456604562438,0.04091732274132145,0.08910757645043567,0.015026922542711282,0.041321890184890755,0.04789001822165069,0.05214901394573729,0.02588733333532989,-0.03203466783784749,0.04942611410125535,0.021052624942831444,-0.012038421396409156,-0.018349716577356658,0.09261220019304899,0.024782633074850933,0.039990368077834106,0.03395282036650603,0.02426346779330118,0.03415641311774255,0.14957406375433824,0.041130353770909636,0.04407587889866453,0.017820590304151205,0.10662420376407179,-0.009234360587412133,-0.004291582874354866,0.02883727105762268,0.01210813397502977,0.03783467792163174,0.09417969658949095,0.046791865908852946,0.006365551579979328,-0.0671486050941656,-0.02579919836649468,-0.009824306045074126,-0.059556861435658325,0.027142936308351226,-0.03322582177729312,-0.08653972089343712
7,-0.6918179695684865,-0.6083981075694539,-0.8034725311732549,0.020836123062720934,-0.03168906246292953,-0.04003581724410715,0.011628024188073023,-0.09240260092147078,-0.017972864071287394,-0.024026314033941423,-0.1098648092870039,-0.13532761794400908,-0.10824326347534156,-0.0636194487548122,0.008758779458835514,-0.18924182929591032,-0.3243237240658292,-0.1621121112337224,-0.051180016963998695,-0.04568404088389381,-0.08633037743114264,-0.48827249637806375,0.0075726593508882115,-0.18416463877494382,-0.1494024043353304,-0.6045917716635296,-0.5053202839848131,-0.02620649961152862,-0.035333535602084236,0.02682068677690616,-0.036743888433340186,-0.013785797413398169,-0.32177195198874564,0.024947766814329628,-0.38521428323323,-0.03755983003150115,-0.2904337016419011,-0.5807482899071381,-0.3240002774659778,-0.2364590496678472,-0.07615498105805088,-0.3455647631622427,-0.4171659221539825,-0.3357638159096751,-0.0026512709643729602,-0.5675945309375567,-0.8308271254542985,-0.20584200147911935,-0.5590497221566131,-0.05693651067096178,-0.760671358285221,-0.3627293682338092
8,-0.8936941241389933,-1.232544299369915,-0.6985332541574115,-0.3446476415442017,-0.30085024756924916,-0.26019945858556853,-0.44239969394499656,-0.37486194666384004,-0.36608604951336404,-0.05834706459500908,-0.603233219735856,-0.1583745098029331,-0.030045865188518813,-0.027654648375451743,0.01001806561941097,-0.40790747644268427,-1.1092901220614142,-0.5977806724908739,-0.2861063314832684,-0.09151004041837114,-0.705378645322108,-1.1323746838663469,-0.28281806471544724,-1.1400944207223485,-1.0514215511196503,-1.3035716189014774,-1.2200734010046093,-0.2427251856014962,-0.48152655645449344,-0.43489296661163696,-0.3994209522512023,-0.34685983568305156,-1.4897419516399248,-0.33025836710612166,-1.2193620593240488,-0.11970014718873813,-1.3764478868744734,-1.131773212600672,-0.4119268769547955,-1.2096269626104517,-0.308238140491306,-0.619691169257582,-1.136642369742992,-1.3637338176146865,-0.1445789153710898,-0.7489774796611919,-1.3410577500548022,-0.3962740122484469,-0.9275480148595031,-0.12179784084214518,-1.1791718603106758,-0.9281836201476285
9,0.8871187769227902,0.06609806675518926,0.8301845908466415,0.7269605954337148,0.4564691280175344,0.6584456699520251,0.48739671200040124,0.5706357042557724,0.14970763578014107,0.5232842567729147,0.6654815082618516,0.5657665817949439,0.5824019751975531,0.30316795649883754,0.24725576129506655,0.7775575827096257,1.1873835468316112,0.8752892015641065,0.5227875594729665,0.4467810838222357,0.8863466712268837,1.103543749203584,0.37158718895544335,1.2761016794411828,0.9298548049881858,0.9706559369131189,0.6371584420195812,0.4601357880733073,0.47062709745124714,0.6943635620672737,0.6659852525955853,0.2511177483206639,0.23240873684415148,0.42854296879047854,0.36683287928581304,0.2787281195607718,0.4003097829181173,0.6406555826678848,0.5677315565777092,0.8677927338407774,0.5093291244153736,0.7924617574955736,-0.02606223476879434,0.6348390486849537,0.4198992995876337,0.702155559725611,0.31929441306397793,0.3621051000556862,0.47796016451619167,0.2798808463135502,0.5991590897981266,0.27350211675172525
10,-0.06064872898010052,0.6247362664170758,0.026035976040871,0.18521587403559361,0.0686097413634822,0.07261535142668502,0.016548604405782173,-0.01926464938635611,0.17303856806868198,0.0872529169733932,-0.01780127173167999,0.07939142128872011,0.1221327349137185,0.19006247244221663,0.08073514424976838,-0.06398600534613005,0.03448099944586708,-0.0922367719150116,-0.020539815359295756,0.013950909887081944,0.12135782952711398,0.2549252038640298,-0.012935990932374077,0.1414807998573029,0.21112557135048934,0.13943883483019026,-0.07490413700133045,0.06858031277313464,0.10122616201920985,0.1308905880773047,0.07123529235056662,0.07300737768535234,-0.5180891698039154,0.19093544038501972,-0.1478442533327922,0.09360939981700818,-0.4219840980772323,-0.21296928530022174,0.049015891767173636,-0.40217483564936524,-0.020613919434527676,-0.21492301766990393,-0.24101220082097466,-0.26892631837437936,0.13529576390854023,-0.09520731662153413,-0.04115247587450144,0.12080681366173891,0.04297436106382105,-0.004238734015079063,-0.006142629392955234,0.28434021434767226
