month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,2.7560170915081836,3.027508803468322,2.8926720798112044,2.8132782938032643,3.2749639244743833,3.2822774543550524,3.271268035114872,3.190288432130467,3.48358527696329,3.1937714056135693,3.2332086535530307,2.968025850271411,3.0083202416482484,3.03499690257888,3.0303847231205676,3.0610159834388315,2.902583292086711,3.0148248272261116,2.9266577134573786,3.227786288363323,2.8824720866540887,2.880321133622692,2.924624740386734,2.926394127408231,2.8600649341973807,2.7257982129889173,2.7095272735687193,2.7775911693414086,2.8012813930185194,2.7681069226944577,2.648934245820901,2.800209140973295,2.876855856188312,2.7182917620554057,2.9669389376108724,2.5633748656150455,3.0462860469936426,2.837341973726748,2.540805902810972,2.8871046621506804,2.51966366350691,2.747607182279836,2.9499880582045597,2.9125384145770927,2.60408190468035,2.7265453262615416,2.910832778971649,2.529353551853792,2.79817257984203,2.506875041844086,2.8284010362404906,2.811863493297118
2,4.032254115073773,4.235966080278803,4.18194334529225,3.7888743456500236,3.9331034037029697,3.898659777853513,3.966713750901178,3.9947746348576785,4.188087998094613,3.883810501165195,3.9983913967619604,3.806717947167202,3.844007564797311,3.7559303807407836,3.6893377521297754,3.8362806735567374,3.921769655252353,3.9238566511069575,3.842690792770015,3.678994354144506,3.8760795165259507,3.8869158985110035,3.639301390956518,3.966735222186415,3.95581727107237,3.838017856953532,3.91721416182302,3.49632781152695,3.7509199271027986,3.72792323179195,3.7322358176959893,3.6393135997977684,4.127688336268808,3.635085575941509,4.055802834657724,3.4622692771925867,4.145565070298735,3.988289194386677,3.6903663615530267,3.973040835573329,3.493058891612296,3.8798625361219754,4.061145416265251,4.020694444427415,3.373225934137897,3.9415387536049256,4.112542367573509,3.7109649784374144,4.069059281746732,3.4627894070180885,4.106987947418679,4.052377047902293
3,4.278496281854984,4.201395832473629,4.274807090727254,4.3426746387453035,4.178805107155472,4.265216427873613,4.158878374590015,4.1214317081539615,4.037634501577275,4.265023726621132,4.257566282754834,4.236624891919495,4.200916258605253,4.124744860649664,4.136755198865158,4.314429965663182,4.4147736114954075,4.428003462190912,4.3248365774530075,4.061104483952599,4.398661058878386,4.355800677847071,4.1388883776513525,4.4711415664814025,4.468182692105458,4.325660445745609,4.3214497762283095,3.977389334818445,4.23199024928064,4.247471824389126,4.250084926056114,4.1078332192943545,4.3512143566336325,4.1099978966253055,4.328816708558456,3.952476227557833,4.523993894223044,4.318788370880831,4.199646830613378,4.37747947544346,3.9735406429810984,4.335299471602341,4.2978039082348,4.345517807578083,3.8237384089240507,4.287194004666706,4.26524353560598,4.084909435898014,4.234069493165808,3.913474186503807,4.305761265674279,4.174159392840147
4,3.0512496790134893,3.262026852217236,3.1409587759734827,2.89960265202629,2.8206541820045756,2.8901428666643123,2.9460209100034636,2.9815243211145863,2.8380018689838957,2.8686579110306583,2.9745332098970483,2.8036330591635106,2.848320672389028,2.7600281297833025,2.685525139565612,2.9074074309301827,3.1462889340102267,2.976036267557458,2.8168197617510273,2.9499216712500553,2.928792790355027,3.109794745278766,2.6067432454308324,3.129909890594114,3.101826378401278,3.188633168274765,3.3214843711313087,2.575766843616764,2.7428369067095852,2.774089683832552,2.722722982187387,2.666756470628067,3.4294675404668196,2.516532647282376,3.187943368373271,2.5175733995283975,3.388262169758547,2.996079418327308,2.771853152773339,2.939879162770332,2.4424470126620825,2.8453134613795195,3.2564716985601634,3.056894150358766,2.4848930580375828,2.946571882282285,3.1466368052411924,2.607953983897832,3.093105298934587,2.480289638048431,3.1054290356510768,3.1337778386276294
5,2.9516849641262577,3.181927774725314,2.9588406285332303,2.817109442399032,3.077631388590862,3.1942216397955803,3.3851073325795564,3.3735962280940255,3.3885167124391753,3.091916288033555,3.362823308374822,2.937755840471514,3.1355000576471688,2.923749322242886,2.793138910451139,3.12791276153004,3.2779681251685266,3.055468499882476,2.812225099663481,3.2116489898771396,2.938295275975437,3.201122281253699,2.669468117150908,3.0733399014823957,3.038193370469513,3.248532155241415,3.434987915182577,2.596533568763144,2.804239377299871,2.746863790572441,2.7358427293236742,2.730417002864099,3.6136714053678345,2.5728271827777474,3.2401659239663636,2.5196237671132695,3.467498019364372,2.9722795390971823,2.811176877402906,2.8337402248679724,2.6354324754100373,2.778864260697608,3.3406683839137403,3.047863355550878,2.4465762834169453,2.9139626001288343,3.120453913450124,2.5853800837322414,3.0180162330108393,2.394385332043844,3.035185485473807,3.0232270684213627
6,4.214396880914663,4.2497667902137355,4.131082800593978,4.192460985915564,4.2215478713976715,4.212811393204977,4.226491918251796,4.25002582822427,4.4068028520960105,4.198955433403327,4.257046920591322,4.114871518014904,4.219358516586727,4.163225924076071,4.184458297934982,4.137814957290313,4.223412255727658,4.124713554477927,4.137562496371153,4.25689589638364,4.214372007959449,4.213373770105831,4.204802381029023,4.213325195567506,4.216877111162661,4.1474172970638925,4.251242010411756,4.135457738939984,4.197856164707259,4.2141544727561335,4.205479955743872,4.148583806897991,4.34574892945243,4.229370214907975,4.221665734644562,4.082344887255011,4.312248094836379,4.153062798653677,4.19956034550118,4.138524425511254,4.14012016248625,4.139401024230338,4.292766852458691,4.131855134379882,3.9095404984497346,4.157332335881007,4.189686165618397,4.134494886373734,4.16834291024714,3.9927138505699467,4.182065720018092,4.199831955691578
7,3.5470152406341353,3.4259669535115647,3.479567262811574,3.723632436958302,4.2259922865908495,4.20245004470226,4.161390808207917,4.092051838827411,4.334662092581603,4.179237161937627,4.167103889789364,4.0829218524012285,4.12232327827162,4.118057161457942,4.127292789859695,4.099030593910726,3.995982326854699,3.95054604078246,3.929176065816519,4.106864558672152,3.827283435411085,4.030701359134643,3.9798612161644025,3.8509508895085367,3.786575578327763,3.776089118277235,3.757229481228772,3.8367325680422866,3.7557547988183853,3.7809415987402875,3.635257613875435,3.8077822579404534,3.8924024564676127,3.706968012450265,3.6988619794143713,3.533540594255368,3.7380109431005675,3.615748055579529,3.587414140072111,3.524634605749268,3.5702475400612665,3.5243490128354655,3.765290778765034,3.5670568903663225,3.3877139337561535,3.5481429406585887,3.6604721376870426,3.4278244655618004,3.5782729339369537,3.3291195605806627,3.5678622731934437,3.5264869856368475
8,4.2234265634430646,4.0460872836546065,4.076594526928845,4.457076308031165,4.867539756357015,4.866166452977871,4.86432289614623,4.758363876117512,4.915896458281038,4.816929827186264,4.888732007991352,4.689318636558068,4.734573433414176,4.683743705094807,4.685346276299489,4.813827593129161,4.752242037719364,4.70414754384838,4.5182606428548775,4.723465448458298,4.565705083096931,4.782887572452701,4.47963223788766,4.713183381404369,4.605882010309769,4.58498777983462,4.451126594186705,4.390045045719788,4.396838836540509,4.482236424939155,4.3733427274057615,4.428796802531922,4.528312063414805,4.309658527007994,4.4244298496463115,4.060008471645872,4.487186063116433,4.340159070905085,4.287022225954098,4.312673128214511,4.167968289565294,4.265314191878672,4.450032493121035,4.31797256771864,3.9253916945221063,4.248002617726934,4.28497541494115,4.0504979371740415,4.206057047057666,3.7355309853613017,4.215553613771728,4.1394752909836745
9,3.8242690797632086,3.910330751643748,3.7462638959301446,4.083085596470603,4.445007278623392,4.415120293455089,4.415777324889212,4.3500399180038025,4.463559513466459,4.398663690973954,4.361759323763656,4.350235857306964,4.377986821865903,4.415405713173893,4.418301216502156,4.359709973391731,4.165413131311664,4.209725415097777,4.152160945813428,4.427229029552536,4.1057468802092565,4.211472361000969,4.235957974261303,4.061718020296297,4.015248824351757,4.0288740038187925,4.017965924909285,4.236966389106791,4.077262581241463,4.113636953157885,4.0734772381226865,4.182317634062282,4.072776164042499,4.105529768829116,4.0621425665694,3.9476901377198996,4.0625550171040405,3.9401554868305233,4.0635872630032255,3.8796298740752966,4.010955203595872,3.8938040476977194,4.171221898900505,3.92192337935875,3.784266529088776,3.852223662915467,3.9706327776978694,3.85943031671853,3.9377117045116337,3.6144971155390477,3.853191976732979,3.9627400820262384
10,4.229645492614973,4.164542942008386,4.1937322342889445,4.488205755129241,4.684733800439371,4.722456974513059,4.7708999695454075,4.700777628771763,4.817901568727554,4.6612386181975705,4.766472735981622,4.632577823420829,4.676667271134532,4.634889812678877,4.6065073934718725,4.69009468722885,4.543635062451208,4.614056269352723,4.539682441292336,4.692490688432129,4.488107393269253,4.561757074580499,4.5740038850298355,4.447345312441711,4.427145017014157,4.37579184379803,4.420474587288813,4.595648339791971,4.541263588906044,4.509150380083764,4.367924744342592,4.631897448873068,4.438467808582012,4.455604713431226,4.438043876642698,4.428022440767742,4.466683737306251,4.3701976209912,4.420353073380104,4.369525348422952,4.414368264463523,4.3231344776968506,4.40293988738693,4.4067827841823775,4.488973382080736,4.305016710319052,4.339171869730271,4.268384139787916,4.286135993816876,4.223765336994589,4.274624433871853,4.225737066211419
