month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,2.3668552303674617,2.622753647706324,2.4869044400241305,2.158692298204587,2.196935391155633,2.3023260455341776,2.5280304573214436,2.7645359499931335,2.7521865416345555,2.1830856634763576,2.620700912087502,2.123417656308234,2.1355798256217886,2.146506025913253,2.1597905315747217,2.298686183990637,2.3357791630450313,2.2253260073374785,2.1000035071492418,2.6715876257455906,2.160979334781056,2.329413272020242,2.176268005932988,2.220309409968773,2.15086900898003,2.266511531919704,2.4343910110730933,2.2203611692799368,2.1213171328525635,2.1429737734811725,2.214450117122005,2.1439164391046397,2.5139485174447374,2.1282012063062723,2.4764064156142798,2.1823716942790496,2.524491351346295,2.361908105785858,2.2369223378500904,2.337165729803628,2.179638249032946,2.2717128839736715,2.4813743626492553,2.384638308661116,2.2136910679367423,2.297250214177583,2.507904155882237,2.1603210531164647,2.480042107008454,2.147268425497522,2.4400832229522327,2.538212146987324
2,3.134962657135461,3.451090993530606,3.275966642308948,2.6994145954283084,2.8217408891836513,2.8993819384643413,3.0667785109538386,3.3589651998010037,3.200163187957923,2.7845114745017483,3.192349008157821,2.7395416733879623,2.7953471333586153,2.767794288646151,2.698047143034034,2.8560215707673455,3.0003045767990595,2.793358319061436,2.6278149723824433,3.2946594906833906,2.6928594367716654,2.9501402413281825,2.658234098867539,2.8091611727572734,2.7231913971101003,3.0128940163375857,3.185513413766676,2.7495824749052544,2.679832895925934,2.6718031188798084,2.8329451552614424,2.714743103174558,3.2990997556846104,2.7016914550333118,3.2957707642606158,2.8164195059173935,3.258940370972098,3.1577146222115866,2.9484394572479493,3.1009689432677443,2.8598882389203744,3.001129621530013,3.3184327559566866,3.184467309385871,2.8135617305598863,3.072734819827029,3.341167511960618,2.918129085390861,3.309990321002468,2.819472536389594,3.2464035545468852,3.3630495292431473
3,2.7852143997224843,3.006164764220984,2.8924323460728316,2.588215288273069,2.643366282319637,2.7123304842168716,2.76986157893314,2.911628326001765,2.7320106382153226,2.6658553033070036,2.8039765763795743,2.617204233524756,2.6324195058611806,2.5488275284452713,2.5227702234458547,2.7056673911952616,2.7927567536529274,2.669596289305604,2.571191340795653,2.8147068190447766,2.6247578653790447,2.7607294910496107,2.5377363059925453,2.6987787893851016,2.6766804077637194,2.8148693321267957,2.9291676726443403,2.562482366212078,2.555738856918833,2.5510005214138745,2.6235774036400783,2.55352636061628,3.0020241203446094,2.5489930565748407,2.8809839176905845,2.54606132582508,2.9711375415649863,2.7760716155593474,2.6502430179008476,2.7469226722084557,2.578936211510822,2.6447799667576524,2.889613413826134,2.8077173606954378,2.519015002407849,2.7496812491628715,2.9092854249677673,2.618278580485856,2.8812854324603068,2.540237125513047,2.8500995658778785,2.9216774932234726
4,3.407668104050992,3.500859881767704,3.4118255323498263,3.3262563827179035,3.4080840388500846,3.4875683542390115,3.567542394164652,3.6028922379342823,3.5716383964926957,3.4164307983782787,3.5614149931788543,3.369840534884991,3.441996641442618,3.3111789729847865,3.2473396353308477,3.460239160454755,3.516760257806212,3.444469999226025,3.3219363091555305,3.55487754838253,3.367334694871906,3.4885842903008975,3.2680874755004194,3.4147776977953,3.404378019098109,3.4676463076111466,3.56224142729425,3.2080478348293022,3.292244867052389,3.259690970429663,3.245183599856643,3.229964015181227,3.647418735747176,3.139648084643844,3.5285642830817983,3.09056195539054,3.618390537762933,3.4270667324704824,3.310831614673275,3.3578869389273622,3.1528030447699225,3.319396530400231,3.5927224611341404,3.4629552189500785,3.0782630911088584,3.386164092265074,3.5103893773376926,3.1589936665384477,3.478836376605768,3.0016543786273044,3.4700719159826443,3.4895121023979865
5,3.2344266646153526,3.341287384310718,3.1528202704149737,3.066266681130272,3.4783344635052527,3.4566568204914687,3.543824116127747,3.544364095745696,3.6477437251227895,3.434310268594551,3.4960249467292064,3.3135402694584273,3.465623811628607,3.344763580046538,3.227946687147586,3.351657237004258,3.2821008766925677,3.2043906634748693,3.179317143745351,3.5129548831003103,3.183836305687243,3.2404031293874658,3.179551331415403,3.1867845537549386,3.1800513004120328,3.2917379427521727,3.3670213480245494,3.145462255419189,3.1814224258859105,3.092600656230138,3.2702231924436163,3.0699964728192763,3.4079321821150597,3.097288479498986,3.3393070457017675,3.1015108264264026,3.4093226866043898,3.2706096118224726,3.2545668675272026,3.2411532589045198,3.2479777462639956,3.2572495692656673,3.382877754329398,3.295570069258972,3.037597671706108,3.2522400235942137,3.2702921829841447,3.1753383860653863,3.2199018065991747,3.0870238898057587,3.224107687025856,3.2464300084137556
6,3.631614201195595,3.7537267587717995,3.6036297681558094,3.6513088044225523,3.9084712577950396,3.8970987058465116,3.9659788492883465,3.936418006964241,4.182691843010737,3.878918836921515,3.9448589498087743,3.7833561135716507,3.8403498101218667,3.763909666749082,3.726962470056245,3.809206075711576,3.7711838545393483,3.749148921370076,3.7260743996722425,3.894986773032549,3.7411222797306016,3.7463971370992115,3.7053250344075153,3.7128979483121562,3.7068918111544265,3.71407651535378,3.7512356090991403,3.6497624848177184,3.695668214478375,3.685245778989483,3.704920838295649,3.6164885791838404,3.8502919692070954,3.666330841701863,3.72878929637389,3.614113954523141,3.8005396244626,3.6528346188015446,3.6471642465171965,3.629944316096104,3.6641216423806817,3.6445130517071225,3.765570673258126,3.633390609514973,3.5870507730123067,3.6247395185801143,3.701126836884526,3.5930582146133485,3.64447925665103,3.5495310003376415,3.6219014662865416,3.69933066315708
7,3.946997937887688,4.029399378532151,3.934289111776877,4.120976231421187,4.327379982702311,4.403531025018548,4.37308527344292,4.230265877137409,4.396257187505004,4.35798628697404,4.382002117874544,4.315481449067776,4.338621891582088,4.257281574353193,4.265583323754921,4.35805390554175,4.3564758142504365,4.305316224846093,4.241250734948337,4.200872883689584,4.212531849722326,4.313921275037717,4.174046543101375,4.29223809355883,4.250868704743296,4.261349662994984,4.190017189132265,3.982631716431124,4.067446140009718,4.085767226419264,4.013725072073961,4.0233548505170775,4.209238171402531,3.958337279251982,4.105906897509354,3.7484639449914967,4.190591473329032,4.010694161391158,3.9133709734806033,3.944735890526535,3.775368917911399,3.900997177588424,4.1515416907352565,3.9790384796799176,3.734735480018366,3.9360973264775847,4.011914896480116,3.6872165146547036,3.9431957288291133,3.550388928952456,3.9555523192489606,3.9231865872016285
8,3.834605864026904,3.925229233344617,3.7971468486119893,3.941158357137106,4.084674445791808,4.209857171516894,4.206815713876273,4.122531141177775,4.217853617815994,4.079088423135535,4.196466613608512,4.044555093711613,4.092520399851364,3.951169891528007,3.940573458235058,4.144613559594298,4.149812151222239,4.090434905760762,3.9213964003162083,4.066953036082192,3.9922803273626437,4.12288771886612,3.846830842129883,4.1068876734415785,4.089089963364162,4.112156340715615,4.057536335072196,3.8082929433967707,3.84985767608733,3.8834044436674087,3.8506955525753574,3.8569440391458776,4.100486856361592,3.7621747484982953,4.023574855177217,3.707811543387761,4.088935798435456,3.9190530909054524,3.89677726943389,3.9116246743320904,3.7511264265451922,3.847295598739615,3.9958686410349427,3.9154311759763494,3.6522454119329386,3.860687246123598,3.929763141658133,3.751596427666483,3.838837004874033,3.6056057855499763,3.8426254147209984,3.8792373899552968
9,4.004429804472245,4.199448565619744,4.050938689622913,4.240342010723473,4.751934344011353,4.721244858483695,4.807647080670881,4.692339730541376,4.890120318356821,4.670315775853455,4.748561240765587,4.551348450826077,4.636795600068525,4.594931500257692,4.529179334799194,4.62108752294341,4.513728516876345,4.472283077304207,4.345931394022213,4.591978505545623,4.333262381961742,4.4612973355406895,4.332100124613744,4.379816661408381,4.31315810885068,4.44724145876865,4.484045310528775,4.2709121988868395,4.197741432316915,4.270357675849355,4.119755257494127,4.258372886859878,4.627557710916204,4.124670654336232,4.455535802323739,4.00155972020162,4.560674953190531,4.187471201522139,4.028745078131241,4.191060905906958,3.969148459449186,4.04813257999599,4.546528858920923,4.243131559739064,4.052067891433623,4.001776770320696,4.307525499780723,3.8368972984837098,4.183408469809419,3.7762004122381807,4.0901874904959366,4.206388720138496
10,4.777500747632775,4.617553757189752,4.6502931352793775,4.959669368507415,5.097154520010676,5.12699906996717,5.181981230453072,5.189246094637482,5.28077396308445,5.073909211434485,5.153946385506565,5.066239219769916,5.154892182511862,5.112458181844955,5.105679663443334,5.077266571715913,4.943643811791107,5.010859478090431,4.995832510342101,5.305353302284158,4.982841756257716,4.987572119001086,5.1288854599840255,4.855374625105388,4.839159348998559,4.86283637753298,4.917253332072324,5.269958433292536,5.087683199612576,5.0488127606349416,5.066862015140207,5.179178661091259,4.922767256132537,5.114172760476996,4.813522427633272,5.2127479273456725,4.85348478997599,4.8021413543029725,5.095973912340588,4.8253056770735325,5.204849515717658,4.886325377282195,4.828120642589207,4.7990097313018065,5.2084149669356625,4.838422950061641,4.733008238269668,5.019236260600862,4.718826453786372,5.0570023430248074,4.723900681391413,4.673395018239592
11,4.248428532860392,4.266313497959509,4.188804361620789,3.901914442276258,3.5639497591487266,3.690351461837265,3.766491299797282,3.972356484069761,3.731239449783882,3.634518806324668,3.8329639685752355,3.657384960822087,3.6599782852521674,3.545269844777662,3.5711084884848074,3.7609330696896652,3.886629312382841,3.790272872675329,3.6961132817487257,4.180625109144583,3.851842480595961,3.9184540949778057,3.694504751507204,3.92325675292614,3.916454642283714,3.984819769140206,4.102488226614744,3.815670071345417,3.844259118959025,3.9309690791196275,4.224785619290402,3.854805963189702,4.110257337507433,4.064091801478344,4.186917589880127,4.09949071994383,4.149946881383027,4.209018248879397,4.273233647419757,4.1846890309732485,4.191234336242758,4.234120924351009,4.19326614650487,4.178524601008946,4.039657511341482,4.257830516677875,4.239896446527383,4.252100592923114,4.266051017404933,4.0573773169781795,4.23322104406348,4.282008572359954
