month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,0.2242748942689445,0.5253990810887507,0.506649282586265,0.6300269101580557,1.1631365401039737,1.3014836475723646,1.3677836510562016,0.5942832684798901,0.5442705392141229,1.696736763846368,0.8000474432574641,0.8313502458404649,0.9038477649903048,0.680864046900793,0.6561987691257205,0.9611416758788659,1.0584458854949086,0.883330464522988,0.8058880941907626,0.45014534159841124,0.969530375843139,0.6997867228754743,0.4001084210289739,0.8935173471590429,1.1175091472811243,1.2417660387572966,0.9856319087004616,0.39746225570021676,0.4113191069437379,0.5427643602195157,0.7434124646355246,0.47154171692317376,0.41687967055032227,0.6696636268462063,0.49880790731758323,0.4168767210101375,0.6939986945534931,0.5901621805808192,0.39691453203635163,0.8858114312583211,0.46066893028100414,0.8921780632408538,0.46570121993980046,0.6844946746814079,0.3036989365219904,0.4355672650974125,0.4378693676651514,0.3216954878476953,0.32781635857940233,0.3016350364982992,0.32517293142907455,0.3034241360740153
2,0.5976393437252486,0.43224533252916075,0.5317936901436132,0.8382809757933892,0.9999187196289555,0.9383946039338855,1.0112884729118745,0.48408153066305837,0.5416058174939814,1.2975003426795344,0.5665845927398002,0.6480159907403893,0.6816204297726923,0.5705002845781925,0.7056324791112774,0.6130500669931874,0.9874377119474478,0.7107081420024359,0.8043615488625964,0.42221001615420706,1.102408316490489,0.5950091132464275,0.6470639337679303,1.048889109212545,1.2043654193461555,1.2960223496803607,1.0879984520971828,0.573182849863813,0.7146864445561433,0.821012909284431,0.8087589929215069,0.6205177213954369,0.8884374234550567,0.6484152714775729,0.7342270111506938,0.48725399472420666,1.23590743039882,0.8630913013722444,0.5312362974037811,1.250421839161548,0.6288835721386737,0.9650521048829392,0.6622461829861563,1.1338339510380666,0.49229727594200207,0.8374805623538922,0.618030407023931,0.6034978125695967,0.47700384001631496,0.4350692053062988,0.5311306113854084,0.36868951736410993
3,0.0018571663259356627,-0.18361401248293288,0.008650390728572908,-0.026901877231241378,-0.21613150151138802,-0.3056556106914185,-0.27779092300399366,-0.13506901797133422,-0.023145498178876078,-0.41343713336750204,-0.1948977060311357,-0.19378694142477743,-0.18539958870930898,-0.10268702943752782,-0.06947947007234921,-0.25096265021607317,-0.3075052281290031,-0.3288658579399664,-0.1709278333168785,-0.0917492809466075,-0.2171384381740291,-0.09610595341716771,-0.03867337761592362,-0.20874323684616036,-0.16246328087397194,-0.2529474776690246,-0.3716480918343865,0.044101106888730916,0.02003155191891486,-0.028328875711873442,-0.003079135066508432,0.03968730573227728,-0.4203582362791979,0.03186769696219529,-0.16160023801496742,0.06774214404996398,-0.18575731270207493,-0.05910438151300751,0.03174279416340027,-0.12325015674967228,0.10591074981260377,-0.089750404679779,-0.1729293189288001,-0.046250548038428735,0.028876906956719156,0.011463163453230979,-0.1438416744216171,0.03436381714581031,-0.053568230816320665,0.09068210020372773,-0.01505725717789605,-0.1023920850905633
4,-0.08332189120207639,-0.05763167238818797,-0.06040906738087342,-0.022024178909867766,-0.143642548469083,-0.15027695132390392,-0.2201341602450195,-0.15284605365245954,-0.08713825740264113,-0.14412243953652887,-0.12730873058279704,-0.05792852271181304,-0.045024179760669775,-0.015666408099841544,0.005042246831905322,-0.10164142615949236,-0.19428811276973587,-0.11507963334398738,-0.018199213607357156,-0.13430383895873652,-0.10340027516284826,-0.1039674412937647,0.0083286513432921,-0.07743246133483073,-0.09247543251313461,-0.225069535318414,-0.32268449216855905,-0.006886000310992494,-0.039365107948408654,-0.041827277797519165,-0.02575596605009537,-0.012309171583023108,-0.23778297008198793,-0.027509530909053954,-0.11955936183796392,-0.02097137732881215,-0.16388198511319202,-0.13347332017327385,-0.03877627261647716,-0.0836541070231289,-0.022594770415118988,-0.11442765382867512,-0.1302129304160843,-0.13877638152452704,-0.004191820310736486,-0.10570167112352749,-0.12289620919921909,-0.046576535372643155,-0.06995252748980867,-0.01840359852903445,-0.08749513228591267,-0.0590028789615043
5,-0.026600275681282783,-0.05541224536862871,-0.07983334381905964,-0.007975201864000515,-0.002449788846347582,-0.01753177806126295,-0.02025851158540445,0.008223428318285509,-0.00260715811409653,-0.013569936007571948,-0.0068116661918711345,0.005465253973003283,-0.01312491052557421,0.00204766745218473,0.010209938762235674,0.0027699054701785125,-0.027240216085560452,0.01915414542356507,0.015295675552636102,0.00822541101343413,0.006526810537245789,-0.02283326324057355,0.011580408428837369,-0.010382127940599412,-0.008865916806275694,-0.021962899593235403,0.002474720875438445,0.0005706372889008379,-0.006286426768169068,-0.0022472286236978984,-0.005801293718556839,0.0027287584247385585,0.015475016021558386,-0.002516775482630874,-0.002216435952292288,-0.0032093361157474127,0.01361093770469126,-0.0075050171980483495,-0.011796746453474396,-0.003967271837710885,-0.012069642622262915,-0.02280331299049753,0.008185586413202037,-0.019656998805018314,0.004213784704243853,-0.007051768740331054,-0.01186745833463558,-0.016355144139646966,-0.034644022616680946,-0.004089704546833996,-0.035807974082411036,-0.02803186246351099
6,-0.08004712044315228,-0.2481400134254172,-0.35923409487201685,0.00026965581539543216,-0.010988258971638588,-0.022165020907807097,0.004354909465560071,0.03678486091027782,0.02720132526232014,-0.019340788050663592,-0.008256259179530255,0.015170603936843939,0.011587578766710419,0.02229655635756529,0.030455122620658998,-0.0010840151640839424,-0.06567046625223422,-0.011934187361804786,-0.025151896362118755,0.0848179665346136,-0.014277795007575998,-0.08136372545371834,-0.0037198721018134695,-0.05667235618257454,-0.04344943003810388,-0.05761392738724765,-0.06009585335617536,0.002152437947355795,0.020203060779179736,0.00936853101650348,0.012401220655014861,0.003888691972717101,-0.1975431823208037,-0.004415495783055728,-0.09674539287028591,0.002854671812066791,-0.07697873742255511,-0.060787706011366696,-0.021419781916455393,0.05408464841596248,-0.007590855164834338,0.0400698365937393,-0.159302282377698,-0.07006422208736744,0.018043731917112827,-0.08724978522710237,-0.15735200772852728,0.0006979551774081712,-0.23957410247406355,0.01100976125189148,-0.26207990864390934,-0.27522301229127644
7,-1.3665655491372612,-1.6559277030677,-2.1936431687580162,-0.28981732027822754,-0.04030572779142511,-0.13940456192767683,-0.06470881270537267,0.14744583236640674,0.10480646556459473,-0.08200828557129104,-0.05176114194603799,0.013840280131862372,0.001865145358327225,0.06590990497475317,0.06317097090755898,-0.21311530172321494,-0.5425962680311833,-0.3037127238202698,-0.031114915200702288,0.2611905367206929,-0.36629946224118104,-0.6994843284271806,-0.018711324081236106,-0.5951740238885501,-0.662594690185942,-0.7292113624916908,-0.7490969097809906,-0.10313180104507745,-0.21748122356876567,-0.24184174470177555,-0.3092629612288479,-0.13928906139567465,-1.080557106283751,-0.13504247633920283,-1.0251797675735805,-0.12531511070734574,-0.9990763519106078,-0.9584223978082155,-0.3809009850686624,-0.8079340326269133,-0.20445190319395193,-0.6624353374807656,-0.9721967102184992,-1.117542006383568,-0.018536247292286194,-0.7506334323460094,-1.5550010829629675,-0.2538694912683613,-1.5681847131553381,-0.03289976563845714,-1.6679118694832715,-1.5533158298704017
8,-0.998276272261639,-1.0273874342155986,-1.0230065509202217,-0.1782159317046177,-0.5874823036208537,-0.9999078251589661,-0.6859831762976282,-0.5404107422249683,-0.42746460028455147,-0.713747020418625,-0.7171411024372957,-0.5558669420269062,-0.5042463060610004,-0.23711766941408083,-0.01318070438646128,-0.9377346293718525,-1.1691007822522583,-0.6395930889946635,-0.209996997503897,-0.1668622371281618,-0.5332361142271497,-1.2851190551900842,-0.11279062755219554,-1.0545958947469714,-0.7912683190855465,-1.8508027607534892,-1.3326700897442176,-0.029148236970100418,-0.21035934504584347,-0.20670301261866528,-0.3226573774125702,-0.089029306507678,-1.2199901870801717,-0.046912905599944384,-0.963441006153416,-0.05771914537874726,-0.8865405472124432,-1.0904600106426952,-0.419663143762978,-0.9189410688423909,-0.17670438856728488,-0.7163754710093975,-0.6247333730783896,-1.1400584069904767,-0.004432342806803119,-0.735377589238678,-1.1838787838538827,-0.41592534632731926,-1.0560513015444302,-0.09807852569792265,-1.0794452815118503,-0.8474137150425317
9,-0.17793433253542112,-0.8978493539510581,-0.19288426174486584,0.22734402090075598,0.19096497346632443,0.31127150085013094,0.16948610850357845,-0.02247279472532797,0.005279858615555299,0.3323099984870593,0.25406705327564966,0.3912344273546382,0.340580780191211,0.3238307051567715,0.24953025985743352,0.391035068703931,-0.27025097321374464,0.2686399684118788,0.2817053838158514,-0.1720429770214229,0.0414790099371709,-0.17623739094048468,0.29517397143786805,-0.3038716844072485,-0.08355061659490111,-0.7010686296810829,-0.13825015693154527,0.2670635316805711,0.1367798428746043,0.1338022568457692,0.04610274347540141,0.20657674921983232,-0.5103962704782421,0.23362697075259992,-0.4788661764428811,0.2994426073807857,-0.2806783122896802,-0.17914799314843902,0.08223768068450087,-0.2429373234636468,0.11568841712811857,-0.2628633845446192,-0.567406662612775,-0.07111825109291141,0.21988922301228572,0.004481919200060635,-0.4188722658676974,0.008903838223764896,-0.1469795015043751,0.32975649132975854,-0.040724572704096226,-0.4910857197763937
10,0.4630352943445984,0.4105602917560099,0.5109299931265061,0.03771560516503511,0.1174861575329348,0.1355748003966692,0.08180837193783408,0.015718802135557933,0.17872499908176287,0.06791177936658124,0.052186791551506725,0.10534470496947802,0.0780322534969011,0.006224470694208973,0.015415925607606178,0.1695690503443562,-0.06368060195653659,0.15769964783865614,0.012174247437312298,0.06343593610344318,-0.019686898072537987,0.011588268854843375,0.022310577505560276,-0.04151081679134146,-0.018358488995017578,0.1265648715331008,0.159474293396859,0.02151746557121173,-0.008269312759628052,0.008617444575474004,0.0535650580478394,0.02291764011198301,0.25905119441572577,0.033882581814290054,0.35042020624415776,0.04532409716678064,0.29122775920671434,0.3329536943272385,0.1830814991179994,0.1672611228925209,0.06907046301885811,0.07772436426018316,0.30982958936628013,0.39306455957701375,0.045572808390556774,0.3879103765759623,0.44346804727776584,0.2276730862342479,0.5008335224938528,0.09588519729272448,0.5466626175087016,0.3782226376492277
