month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,3.9479029283037494,4.31814631820773,4.033224561939356,3.519787202282271,3.7446046418724657,3.9923226015619604,4.365001272341345,4.926409851733529,5.122527219023943,3.588601400400126,4.529154344319508,3.5923175397730596,3.6884567787554703,3.806616160732873,3.7318917179919615,3.9140830585666353,3.7908294848115505,3.5843390177755348,3.349425553413423,5.293828901491119,3.427202247365422,3.8475101668592613,3.6411714035867364,3.558201666579936,3.380779880090352,3.665691178768341,3.906120640710343,3.7892012007218963,3.491925530382804,3.4700160925104986,3.5575556893444547,3.7128168641715966,4.053386774067229,3.528839357647033,4.289216728779338,3.783899683014625,4.182367693295527,4.0066882554242955,3.880958904031631,3.942722440790318,3.7039394565996604,3.7746396156798956,4.264006386718533,4.058539265075619,4.035566525552542,3.8564882956267788,4.244312499969875,3.7401411234347144,4.157553576403929,3.8327194412943775,4.078460752254464,4.202311616411878
2,3.709132613570099,3.766822851991704,3.6965021333590977,3.5415726688322815,3.853340264585771,4.031754293110385,4.221713385988428,4.3730500139220965,4.458229418972563,3.7968078262380796,4.293681194544351,3.767140657848756,3.7954247042636755,3.838168872577154,3.7612097825000155,4.008560195724442,3.8952110387543057,3.837382200896391,3.6128746812170145,4.240510392080446,3.6141273319129903,3.919649883768978,3.696032065342903,3.6138821443688545,3.547902942958594,3.757168866109172,3.804896280047043,3.7450877055527996,3.6231972592305723,3.5510360098245153,3.574246922727922,3.68214177247137,3.817257785858653,3.58743140245147,3.7105020384458784,3.6840858058595862,3.775591257038246,3.612101216692591,3.6846182154443503,3.5714685376264415,3.6307629072633936,3.552993613650813,3.7038147902489906,3.6054627896077114,3.7934600453650433,3.625066577755367,3.7131005961995145,3.63492596365204,3.702806450597461,3.64954305544649,3.7058359531335263,3.7328641603497474
3,4.314438209169745,4.398764682158436,4.359169691159764,4.201182958018312,4.361622766702487,4.430528541471659,4.482530815616683,4.532833072944165,4.457242482104004,4.342551163244663,4.50415175891826,4.259077328693117,4.296841575298898,4.2184041277258775,4.1350424522104525,4.37992237487333,4.415945685169883,4.352126963746725,4.203613771616145,4.342862479727667,4.25586333509123,4.3657068517882145,4.118431570403731,4.309315263154578,4.302492681156247,4.360458875040137,4.4484205560543275,4.120798345597639,4.195284627971433,4.166699831532998,4.1438506231216055,4.146057137671597,4.523810776056292,4.12402271983927,4.357271061868336,4.103064492261124,4.481824316172269,4.2763066157983864,4.164588158358935,4.258809462341899,4.0672607009598964,4.17993409754473,4.40062739231663,4.299995226852603,4.075426894307202,4.263999806908988,4.36877680987985,4.1253959343134206,4.329501590914948,4.064046463588552,4.347841073505779,4.324397949108238
4,4.840032929594081,4.866668449109566,4.859077102795835,4.895892144271629,5.059111413089595,5.131991886261071,5.189611914965323,5.217308000910882,5.154767022878753,5.0859637530774995,5.226989169503167,5.043856799078671,5.117858353070711,4.965387938324913,4.887131629543394,5.132820302597199,5.157005735894639,5.123649295766792,4.990984774345774,5.103921361737657,4.988320571589572,5.124139193154173,4.829158251346827,5.006020871995212,5.025969741328014,5.092924633572023,5.215684217608835,4.802212686399685,4.944767005533856,4.852150677549813,4.780764152778541,4.87105490862849,5.309729002565578,4.71429516978946,5.056121230788956,4.649775409574809,5.260559187153489,4.920993041069128,4.7971814741809755,4.879683291315217,4.72401912574841,4.802645143575367,5.138774031565659,5.011448653242127,4.624270234911075,4.8697553454102005,4.973067542889183,4.5975712651021245,4.900134261504342,4.471471980243281,4.932805850114216,4.844101547860008
5,4.039773381318735,4.2188918734342105,4.0076414099945294,4.04179056723255,4.524280785412257,4.573944079214605,4.747553980797549,4.6986775429786,4.871741239182066,4.503432149856588,4.680906139675437,4.330324474354006,4.562555871136027,4.377445324151092,4.222467582844567,4.4674309120017845,4.397225046636725,4.301592279665583,4.172839671878292,4.499573551524723,4.197794373225509,4.357037135456574,4.147556923956513,4.176750196459521,4.183027058417576,4.288683455463832,4.498872112973793,4.017265975681363,4.115746906036709,4.027698428584584,4.098074970291655,3.9988766357187284,4.685074735929754,3.949228061258928,4.415821659297996,3.8209662590201248,4.575630378476617,4.182611235942066,4.08587245009549,4.096380474046988,4.058671656908029,4.032764455431709,4.518265767995679,4.2731982089179095,3.708773687304001,4.113538933553621,4.275455099920014,3.8225969092545196,4.157640966484235,3.6315650117211415,4.1518114188674735,4.108926109344095
6,5.299380410408857,5.455981454624636,5.218421366796302,5.384142118907499,5.496782498363031,5.4941243892873155,5.519059841017467,5.557271389678662,5.686587290233457,5.479670305969471,5.579172605186785,5.408838168523502,5.484268541642852,5.435180733969226,5.402265471115076,5.431359285578044,5.504553315994882,5.396959685438113,5.348624330851607,5.530974735458991,5.3946222648126465,5.45300956816375,5.3690496551041935,5.462940908269677,5.415932743849908,5.403363847807209,5.4879706147491385,5.353796180654447,5.315866947052919,5.354668059318219,5.385936221504167,5.359051594852727,5.630826766299871,5.368328689605281,5.470418529052931,5.244165689184474,5.554727471594737,5.334290068041184,5.351968561991505,5.317176713528532,5.301265280968279,5.286427551624308,5.534258783657591,5.315413015718003,5.114459605424157,5.307654302634491,5.39408425495944,5.254532767756093,5.327414483955493,5.113796904886371,5.307299779905295,5.3741430634508145
7,5.673767263899473,5.703608278426559,5.6892053864956145,5.6014289361203105,6.066772735320559,6.056307557263191,6.023498769502418,5.765885480851049,6.054171698801056,6.020323629336518,6.006370853216497,5.944109218317495,5.953965396900273,5.928270958160378,5.960089538213061,5.966203159829524,5.8601804624117895,5.866061612461028,5.80231342000298,5.685494375271129,5.7514704961836784,5.86664072640826,5.7700701880546275,5.734943182443208,5.727800421967872,5.643122053630982,5.595244535336498,5.581441856964849,5.630274701098183,5.61721245698701,5.470309305558843,5.561762228628959,5.63354622715711,5.476863606043739,5.594527752321382,5.209484207529778,5.608694765000866,5.549318137947486,5.4385293734049345,5.397613117437674,5.276096121221796,5.357937376037679,5.590645640706698,5.480026171650619,5.0447061414748875,5.544614556874106,5.668925331461411,5.266251215218986,5.6774609947993095,4.957590583321671,5.67958611468843,5.688292744789433
8,5.245989925153686,5.224385637649993,5.164445179632391,5.280814201360899,5.67298702004318,5.7519928716716215,5.686528290929037,5.540654951757461,5.70280933422562,5.63858404730642,5.640473974099686,5.512387169301656,5.584692919286091,5.446540115521499,5.373287307850377,5.619345025902141,5.605487351399949,5.522087699167569,5.2950060197849265,5.440463036144543,5.37753276459031,5.597398175769279,5.187824838549186,5.607287194214776,5.470839403198445,5.511510594478275,5.355648448632471,5.074528046914736,5.196108121942606,5.247125753651152,5.2317583674164725,5.152701456437874,5.416928388582426,5.090168155451361,5.42298832151199,4.856978292117143,5.458190233789639,5.3230214813486665,5.163501566613009,5.288899862406535,4.963124765689785,5.215812043580025,5.422744322184633,5.305143450254887,4.706017902905174,5.210989325554853,5.307732746813529,5.011382079935703,5.247108890835819,4.703379577140482,5.244294228811175,5.236011659115565
9,5.0067283368104585,5.003898298745115,4.859801554860254,5.479189788084437,5.849708099045263,5.756772805214291,5.767830252726083,5.599352698283518,5.914043905855426,5.78626886974327,5.617656725256819,5.6772113291510475,5.725774563076225,5.784872941281314,5.918268212197916,5.5816077242634075,5.475291043796474,5.49741152228453,5.644255157260761,5.51977066095346,5.532489138013537,5.406526282912192,5.85709069756161,5.466808466461354,5.415041681300799,5.374782617350596,5.18889909891448,5.811634879231254,5.550869065352607,5.548433310251189,5.502225857308732,5.606848075145547,5.113133193680507,5.5714562654903155,5.17689584433138,5.451099670501019,5.228434123830595,5.1144840756937615,5.26631791396396,5.183129276284058,5.3900941501032,5.221714941951099,5.191875012013219,5.086386993962959,5.451627877446083,5.0623284851570505,5.004368528204243,5.126090789643367,4.954211472399969,5.205071008795574,4.934636165686459,4.977079220534175
10,5.426391252892761,5.388085055140202,5.294425816646711,5.984107667215205,6.414768403128886,6.346254749547677,6.354213649109831,6.206465915583175,6.490215818442699,6.326411126613462,6.288323920718938,6.302805569261245,6.428390924390901,6.4681303420746294,6.412679363074497,6.234815620311594,5.973310556239579,6.083008875724374,6.1317974127136186,6.233298899690505,5.985036368094456,5.98510341328679,6.280962132571608,5.89350711803438,5.827275565991692,5.815503852623988,5.743131693184963,6.321655782462682,6.0928513305687195,6.010258978085345,5.915376301801899,6.204877325498725,5.70830867932641,6.006529298243734,5.768748624236566,5.951903531909723,5.783228552834746,5.70969520073223,5.85630234042075,5.763023288828308,5.911942742036434,5.741073416055357,5.76430078579515,5.6868411301619926,5.9975093593975135,5.57485929864144,5.566542670904486,5.577893657750353,5.49897431020545,5.612068414706248,5.456223090477506,5.4197800446528355
